"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","69.16","68.51","69.26","68.38","14.21M","-0.66%"
"13/03/2025","69.62","70.25","70.25","69.28","15.75M","-0.46%"
"12/03/2025","69.94","70.37","70.73","69.74","18.92M","-1.55%"
"11/03/2025","71.04","71.88","72.04","70.61","28.08M","-0.57%"
"10/03/2025","71.45","71.96","73.22","71.32","25.25M","0.03%"
"07/03/2025","71.43","69.65","71.82","69.65","28.39M","1.38%"
"06/03/2025","70.46","70.41","70.53","69.45","21.69M","0.54%"
"05/03/2025","70.08","69.90","70.74","69.84","23.93M","-0.16%"
"04/03/2025","70.19","72.07","72.65","69.88","25.41M","-2.95%"
"03/03/2025","72.32","70.24","72.36","69.73","21.72M","1.56%"
"28/02/2025","71.21","71.45","71.57","70.56","22.17M","0.48%"
"27/02/2025","70.87","70.72","71.54","70.42","16.79M","0.10%"
"26/02/2025","70.80","71.27","71.28","70.53","14.53M","-0.97%"
"25/02/2025","71.49","70.86","71.77","70.73","21.56M","1.27%"
"24/02/2025","70.59","70.84","71.73","70.33","21.42M","-1.07%"
"21/02/2025","71.35","70.32","71.60","70.13","21.66M","1.87%"
"20/02/2025","70.04","69.71","70.07","69.42","13.40M","-0.04%"
"19/02/2025","70.07","69.21","70.13","69.17","16.03M","1.48%"
"18/02/2025","69.05","68.55","69.37","68.42","15.57M","0.26%"
"14/02/2025","68.87","69.36","70.03","68.76","20.78M","-0.91%"
"13/02/2025","69.50","69.00","69.61","68.76","24.39M","1.15%"
"12/02/2025","68.71","66.87","68.82","66.87","26.03M","1.64%"
"11/02/2025","67.60","67.50","67.67","66.41","30.59M","4.73%"
"10/02/2025","64.55","64.10","64.65","63.66","16.15M","1.11%"
"07/02/2025","63.84","63.43","63.92","63.27","13.18M","0.76%"
"06/02/2025","63.36","63.62","63.74","62.91","13.42M","0.38%"
"05/02/2025","63.12","62.72","63.29","62.58","10.69M","0.72%"
"04/02/2025","62.67","63.61","63.63","62.35","15.68M","-1.07%"
"03/02/2025","63.35","63.18","63.63","62.43","12.07M","-0.20%"
"31/01/2025","63.48","63.70","63.93","63.39","12.10M","-0.89%"
"30/01/2025","64.05","63.85","64.29","63.23","13.20M","1.94%"
"29/01/2025","62.83","62.56","63.36","62.55","11.33M","0.75%"
"28/01/2025","62.36","63.51","64.04","62.28","14.96M","-2.36%"
"27/01/2025","63.87","62.87","64.18","62.47","20.74M","3.15%"
"24/01/2025","61.92","61.72","62.01","61.44","19.24M","0.63%"
"23/01/2025","61.53","61.80","61.98","61.37","16.53M","-0.40%"
"22/01/2025","61.78","62.12","62.28","61.66","18.19M","-1.03%"
"21/01/2025","62.42","62.90","63.23","62.30","19.82M","-0.46%"
"17/01/2025","62.71","62.31","62.76","62.17","17.95M","0.74%"
"16/01/2025","62.25","61.42","62.30","61.32","12.59M","0.78%"
"15/01/2025","61.77","62.33","62.62","61.68","16.19M","-0.44%"
"14/01/2025","62.04","61.65","62.06","61.30","16.66M","0.63%"
"13/01/2025","61.65","61.13","61.85","60.71","18.02M","0.95%"
"10/01/2025","61.07","61.58","61.65","60.73","22.42M","-1.04%"
"08/01/2025","61.71","60.99","61.77","60.93","14.41M","1.43%"
"07/01/2025","60.84","61.11","61.72","60.62","17.80M","0.05%"
"06/01/2025","60.81","61.50","61.56","60.66","17.92M","-1.52%"
"03/01/2025","61.75","61.90","62.08","61.62","10.40M","-0.15%"
"02/01/2025","61.84","62.35","62.75","61.62","12.99M","-0.67%"
"31/12/2024","62.26","62.02","62.43","61.80","9.26M","0.37%"
"30/12/2024","62.03","62.34","62.34","61.68","8.97M","-0.67%"
"27/12/2024","62.45","62.45","62.95","62.21","8.54M","-0.19%"
"26/12/2024","62.57","62.62","62.74","62.40","7.95M","-0.43%"
"24/12/2024","62.84","62.20","62.84","62.01","5.02M","0.74%"
"23/12/2024","62.38","62.50","62.76","61.53","13.01M","-0.27%"
"20/12/2024","62.55","62.47","63.06","62.28","42.46M","0.16%"
"19/12/2024","62.45","62.70","63.17","62.40","21.30M","-0.64%"
"18/12/2024","62.85","62.81","63.64","62.79","20.95M","-0.87%"
"17/12/2024","63.40","62.45","63.55","62.32","21.90M","1.36%"
"16/12/2024","62.55","63.23","63.86","62.35","24.56M","-0.90%"
"13/12/2024","63.12","63.57","63.83","63.11","13.43M","-1.13%"
"12/12/2024","63.84","63.55","63.92","63.22","17.54M","1.92%"
"11/12/2024","62.64","63.00","63.63","62.40","32.82M","-0.43%"
"10/12/2024","62.91","62.70","63.04","61.79","14.95M","0.50%"
"09/12/2024","62.60","62.69","62.93","61.90","22.35M","0.11%"
"06/12/2024","62.53","62.83","63.36","62.51","15.58M","-0.62%"
"05/12/2024","62.92","62.47","63.12","62.10","21.04M","1.14%"
"04/12/2024","62.21","63.28","63.35","61.90","28.14M","-2.06%"
"03/12/2024","63.52","63.72","64.08","63.03","24.87M","-0.20%"
"02/12/2024","63.65","64.05","64.19","63.35","16.50M","-0.67%"
"29/11/2024","64.08","64.02","64.25","63.77","10.65M","-0.54%"
"27/11/2024","64.43","64.96","65.10","64.25","13.26M","-0.19%"
"26/11/2024","64.55","64.31","64.64","64.06","14.47M","0.26%"
"25/11/2024","64.38","64.32","64.71","63.84","36.81M","0.72%"
"22/11/2024","63.92","64.24","64.48","63.65","19.56M","0.25%"
"21/11/2024","63.76","63.15","63.81","62.95","17.29M","1.22%"
"20/11/2024","62.99","62.70","63.01","62.02","18.90M","0.64%"
"19/11/2024","62.59","61.90","62.62","61.63","16.25M","1.18%"
"18/11/2024","61.86","61.85","62.14","61.56","16.08M","0.19%"
"15/11/2024","61.74","62.49","62.63","61.39","26.28M","-1.29%"
"14/11/2024","62.55","63.11","63.11","62.43","15.91M","-0.71%"
"13/11/2024","63.00","63.05","63.26","62.49","13.18M","-0.32%"
"12/11/2024","63.20","63.68","63.75","63.12","15.02M","-0.25%"
"11/11/2024","63.36","63.99","64.12","63.25","13.98M","-0.88%"
"08/11/2024","63.92","63.91","64.24","63.74","14.72M","0.41%"
"07/11/2024","63.66","64.29","64.39","63.60","14.86M","-0.06%"
"06/11/2024","63.70","64.42","64.86","63.18","22.90M","-2.55%"
"05/11/2024","65.37","64.64","65.47","64.64","8.78M","0.40%"
"04/11/2024","65.11","65.08","65.42","64.65","10.98M","0.15%"
"01/11/2024","65.01","65.47","65.66","64.89","12.16M","-0.46%"
"31/10/2024","65.31","65.81","65.99","65.25","13.38M","-0.93%"
"30/10/2024","65.92","65.51","66.54","65.32","14.18M","0.55%"
"29/10/2024","65.56","66.29","66.34","65.52","16.53M","-1.66%"
"28/10/2024","66.67","66.96","67.39","66.60","10.76M","-0.37%"
"25/10/2024","66.92","67.07","67.70","66.79","11.14M","-0.56%"
"24/10/2024","67.30","67.65","68.04","66.95","17.57M","-1.04%"
"23/10/2024","68.01","66.99","68.70","66.58","24.66M","-2.07%"
"22/10/2024","69.45","69.00","69.75","68.68","18.60M","0.00%"
"21/10/2024","69.45","70.00","70.32","69.31","11.98M","-1.41%"
"18/10/2024","70.44","69.87","70.55","69.61","15.09M","0.77%"
"17/10/2024","69.90","70.63","70.69","69.58","14.67M","-0.95%"
"16/10/2024","70.57","70.09","70.70","69.97","7.94M","0.33%"
"15/10/2024","70.34","70.46","71.21","70.16","10.36M","0.00%"
"14/10/2024","70.34","69.57","70.47","69.47","7.66M","1.11%"
"11/10/2024","69.57","69.46","69.59","69.00","8.79M","0.46%"
"10/10/2024","69.25","69.83","69.91","68.99","8.64M","-0.46%"
"09/10/2024","69.57","69.19","69.74","69.07","9.04M","0.56%"
"08/10/2024","69.18","69.04","69.44","68.86","13.55M","0.25%"
"07/10/2024","69.01","70.05","70.10","68.87","14.51M","-1.65%"
"04/10/2024","70.17","69.96","70.28","69.72","12.69M","-0.50%"
"03/10/2024","70.52","70.86","70.99","70.20","9.37M","-0.69%"
"02/10/2024","71.01","71.39","71.43","70.41","11.16M","-0.98%"
"01/10/2024","71.71","72.10","72.75","71.63","13.29M","-0.21%"
"30/09/2024","71.86","72.00","72.20","71.69","18.02M","0.10%"
"27/09/2024","71.79","71.54","72.20","71.46","11.18M","0.55%"
"26/09/2024","71.40","70.86","71.61","70.84","10.82M","-0.07%"
"25/09/2024","71.45","71.71","71.92","71.31","12.33M","0.17%"
"24/09/2024","71.33","71.22","71.82","70.60","13.33M","-0.56%"
"23/09/2024","71.73","71.55","72.20","71.18","11.61M","0.13%"
"20/09/2024","71.64","70.41","71.80","70.38","48.58M","1.44%"
"19/09/2024","70.62","71.56","71.94","70.60","13.64M","-1.57%"
"18/09/2024","71.75","71.89","72.38","71.27","10.72M","-0.07%"
"17/09/2024","71.80","71.90","72.35","71.72","12.97M","-0.42%"
"16/09/2024","72.10","71.77","72.24","71.62","10.79M","0.97%"
"13/09/2024","71.41","70.84","71.46","70.48","11.07M","0.25%"
"12/09/2024","71.23","71.00","71.38","70.65","12.34M","0.21%"
"11/09/2024","71.08","71.36","71.37","70.57","11.42M","-0.66%"
"10/09/2024","71.55","71.97","72.42","71.52","10.28M","-0.42%"
"09/09/2024","71.85","71.23","72.31","70.98","12.94M","1.00%"
"06/09/2024","71.14","70.99","71.67","70.89","17.49M","-0.04%"
"05/09/2024","71.17","72.62","72.68","70.98","23.87M","-1.92%"
"04/09/2024","72.56","73.30","73.53","71.91","18.14M","-0.62%"
"03/09/2024","73.01","72.44","73.29","72.25","14.76M","0.75%"
"30/08/2024","72.47","72.20","72.57","71.78","18.62M","0.58%"
"29/08/2024","72.05","71.90","72.22","71.23","17.20M","0.42%"
"28/08/2024","71.75","71.61","71.81","71.29","13.27M","0.35%"
"27/08/2024","71.50","71.32","71.53","71.05","16.99M","0.93%"
"26/08/2024","70.84","69.83","70.92","69.73","12.91M","1.50%"
"23/08/2024","69.79","69.40","69.85","68.93","11.83M","0.66%"
"22/08/2024","69.33","69.92","69.92","68.79","12.51M","-0.34%"
"21/08/2024","69.57","69.48","70.13","69.33","8.79M","0.27%"
"20/08/2024","69.38","68.99","69.39","68.76","11.96M","0.58%"
"19/08/2024","68.98","69.35","69.42","68.85","9.84M","-0.29%"
"16/08/2024","69.18","68.84","69.30","68.64","12.65M","0.77%"
"15/08/2024","68.65","68.62","68.92","68.50","11.29M","0.10%"
"14/08/2024","68.58","68.23","68.89","68.13","14.33M","0.18%"
"13/08/2024","68.46","68.08","68.61","68.01","9.88M","0.43%"
"12/08/2024","68.17","68.45","68.54","67.83","11.01M","-0.74%"
"09/08/2024","68.68","68.70","68.79","68.25","12.08M","-0.07%"
"08/08/2024","68.73","68.00","68.86","67.85","15.24M","0.39%"
"07/08/2024","68.46","68.05","69.18","67.83","13.37M","0.60%"
"06/08/2024","68.05","68.15","68.84","67.77","12.97M","-0.07%"
"05/08/2024","68.10","68.99","69.55","67.73","25.48M","-1.77%"
"02/08/2024","69.33","68.53","69.67","67.69","22.51M","2.02%"
"01/08/2024","67.96","67.00","68.11","66.70","16.50M","1.83%"
"31/07/2024","66.74","67.50","67.61","66.61","15.58M","-1.39%"
"30/07/2024","67.68","66.48","67.83","66.36","13.26M","1.27%"
"29/07/2024","66.83","66.88","67.03","66.39","12.14M","-0.33%"
"26/07/2024","67.05","66.07","67.11","66.01","13.53M","1.48%"
"25/07/2024","66.07","66.04","66.89","65.86","16.33M","0.40%"
"24/07/2024","65.81","65.09","65.96","64.83","13.24M","1.31%"
"23/07/2024","64.96","65.43","66.04","64.85","11.81M","0.29%"
"22/07/2024","64.77","65.25","65.29","64.32","11.79M","-0.80%"
"19/07/2024","65.29","65.64","65.64","64.82","13.78M","0.15%"
"18/07/2024","65.19","64.80","65.81","64.72","11.13M","-0.03%"
"17/07/2024","65.21","64.47","65.39","64.40","12.51M","1.46%"
"16/07/2024","64.27","63.43","64.31","63.39","9.03M","1.36%"
"15/07/2024","63.41","63.79","63.94","63.35","8.21M","-0.46%"
"12/07/2024","63.70","63.46","64.11","63.38","9.20M","0.95%"
"11/07/2024","63.10","62.64","63.46","62.40","11.43M","0.43%"
"10/07/2024","62.83","62.72","62.86","62.28","11.93M","0.22%"
"09/07/2024","62.69","63.06","63.23","62.59","11.66M","-0.43%"
"08/07/2024","62.96","63.59","63.59","62.84","11.24M","-1.25%"
"05/07/2024","63.76","63.33","63.79","62.99","11.74M","0.68%"
"03/07/2024","63.33","63.19","63.67","62.93","9.15M","0.29%"
"02/07/2024","63.15","63.26","63.38","62.85","8.88M","-0.21%"
"01/07/2024","63.28","64.03","64.30","63.12","10.03M","-0.58%"
"28/06/2024","63.65","63.90","64.06","63.52","17.36M","-0.41%"
"27/06/2024","63.91","64.05","64.27","63.62","8.49M","-0.22%"
"26/06/2024","64.05","63.40","64.11","63.23","9.40M","0.33%"
"25/06/2024","63.84","63.94","64.07","63.51","10.55M","-0.20%"
"24/06/2024","63.97","62.99","64.06","62.91","13.21M","1.91%"
"21/06/2024","62.77","62.18","63.10","62.18","28.28M","0.95%"
"20/06/2024","62.18","62.40","62.74","61.94","13.31M","-0.72%"
"18/06/2024","62.63","62.53","62.82","62.44","10.65M","0.02%"
"17/06/2024","62.62","62.37","62.90","62.18","10.53M","0.11%"
"14/06/2024","62.55","62.38","62.69","62.09","8.18M","-0.70%"
"13/06/2024","62.99","62.86","63.03","62.45","9.67M","0.17%"
"12/06/2024","62.88","63.69","63.69","62.69","9.57M","-1.05%"
"11/06/2024","63.55","63.59","63.65","63.07","8.40M","-0.06%"
"10/06/2024","63.59","63.94","63.99","63.37","15.69M","-0.50%"
"07/06/2024","63.91","64.09","64.22","63.81","9.52M","-0.37%"
"06/06/2024","64.15","63.92","64.36","63.84","8.66M","0.36%"
"05/06/2024","63.92","63.99","64.07","63.35","9.63M","-0.03%"
"04/06/2024","63.94","63.20","63.97","62.94","11.90M","1.60%"
"03/06/2024","62.93","62.71","63.09","62.44","9.37M","0.00%"
"31/05/2024","62.93","61.99","63.03","61.69","19.82M","1.55%"
"30/05/2024","61.97","61.85","62.08","61.60","9.44M","0.44%"
"29/05/2024","61.70","61.47","61.88","61.07","11.86M","-0.19%"
"28/05/2024","61.82","61.79","62.13","61.40","12.35M","-0.29%"
"24/05/2024","62.00","62.22","62.42","61.97","8.20M","-0.14%"
"23/05/2024","62.09","62.49","62.88","62.05","9.83M","-1.44%"
"22/05/2024","63.00","62.71","63.02","62.66","7.42M","0.14%"
"21/05/2024","62.91","62.82","62.98","62.44","9.80M","0.54%"
"20/05/2024","62.57","62.93","63.01","62.46","11.00M","-0.73%"
"17/05/2024","63.03","63.34","63.37","62.94","11.54M","-0.46%"
"16/05/2024","63.32","63.24","63.72","63.07","10.23M","0.30%"
"15/05/2024","63.13","63.06","63.39","63.00","9.84M","0.05%"
"14/05/2024","63.10","63.58","63.76","62.80","10.85M","-0.75%"
"13/05/2024","63.58","63.24","63.62","63.18","10.14M","0.51%"
"10/05/2024","63.26","62.92","63.36","62.79","8.37M","0.60%"
"09/05/2024","62.88","62.81","63.15","62.75","9.11M","0.05%"
"08/05/2024","62.85","62.85","62.97","62.48","10.48M","0.37%"
"07/05/2024","62.62","62.76","62.82","62.25","9.81M","0.43%"
"06/05/2024","62.35","62.30","62.38","61.90","9.31M","0.29%"
"03/05/2024","62.17","61.99","62.33","61.64","11.63M","0.29%"
"02/05/2024","61.99","62.18","62.40","61.72","10.99M","0.10%"
"01/05/2024","61.93","61.80","62.57","61.21","16.73M","0.26%"
"30/04/2024","61.77","62.14","62.83","61.47","19.35M","-0.44%"
"29/04/2024","62.04","61.92","62.05","61.53","13.42M","0.49%"
"26/04/2024","61.74","61.55","61.93","61.35","10.99M","0.00%"
"25/04/2024","61.74","61.87","62.59","61.37","19.05M","0.31%"
"24/04/2024","61.55","60.32","61.65","59.84","19.55M","1.50%"
"23/04/2024","60.64","60.53","60.67","60.13","13.69M","0.15%"
"22/04/2024","60.55","60.14","60.63","59.72","15.62M","0.63%"
"19/04/2024","60.17","59.10","60.35","58.99","21.21M","2.14%"
"18/04/2024","58.91","58.62","58.98","58.54","11.13M","0.68%"
"17/04/2024","58.51","58.28","58.56","58.10","13.81M","0.78%"
"16/04/2024","58.06","58.25","58.38","57.93","11.24M","-0.14%"
"15/04/2024","58.14","58.61","58.81","58.04","12.43M","-0.24%"
"12/04/2024","58.28","58.95","59.01","58.13","12.25M","-1.30%"
"11/04/2024","59.05","59.15","59.37","58.78","11.11M","0.22%"
"10/04/2024","58.92","59.32","59.39","58.69","11.86M","-1.34%"
"09/04/2024","59.72","59.48","59.74","59.13","10.79M","0.76%"
"08/04/2024","59.27","59.40","59.47","59.07","10.28M","-0.40%"
"05/04/2024","59.51","59.25","59.68","58.91","10.16M","0.35%"
"04/04/2024","59.30","60.09","60.15","59.17","14.32M","-0.89%"
"03/04/2024","59.83","60.05","60.39","59.78","13.67M","-0.53%"
"02/04/2024","60.15","60.45","60.73","60.11","13.02M","-0.87%"
"01/04/2024","60.68","61.18","61.30","60.63","11.67M","-0.82%"
"28/03/2024","61.18","61.14","61.26","60.99","13.68M","0.25%"
"27/03/2024","61.03","60.79","61.43","60.70","12.55M","0.81%"
"26/03/2024","60.54","60.50","60.71","60.38","13.28M","0.23%"
"25/03/2024","60.40","60.48","60.71","60.12","13.14M","-0.15%"
"22/03/2024","60.49","60.52","60.79","60.43","11.50M","0.03%"
"21/03/2024","60.47","60.56","60.99","60.32","13.07M","-0.46%"
"20/03/2024","60.75","60.18","60.81","60.15","15.26M","0.86%"
"19/03/2024","60.23","60.24","60.35","60.06","15.03M","0.17%"
"18/03/2024","60.13","59.89","60.40","59.80","15.86M","0.42%"
"15/03/2024","59.88","60.02","60.45","59.64","36.85M","-1.02%"
"14/03/2024","60.50","60.58","60.80","60.40","14.00M","-1.01%"
"13/03/2024","61.12","60.88","61.21","60.80","13.91M","1.02%"
"12/03/2024","60.50","60.32","60.75","60.21","12.68M","0.43%"
"11/03/2024","60.24","59.78","60.29","59.58","14.11M","1.21%"
