"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","182.34","178.87","183.05","178.49","3.56M","3.41%"
"13/03/2025","176.32","178.38","178.77","174.31","3.82M","-1.76%"
"12/03/2025","179.48","183.64","184.16","178.00","4.47M","0.31%"
"11/03/2025","178.93","173.79","182.39","172.75","5.52M","2.93%"
"10/03/2025","173.83","177.60","177.74","172.62","6.31M","-3.92%"
"07/03/2025","180.93","177.92","182.00","173.89","4.81M","0.89%"
"06/03/2025","179.33","180.30","184.13","178.54","4.29M","-2.69%"
"05/03/2025","184.28","182.45","185.27","180.12","4.54M","-0.05%"
"04/03/2025","184.38","182.29","186.59","178.90","5.20M","0.38%"
"03/03/2025","183.68","191.50","193.66","182.26","5.12M","-3.54%"
"28/02/2025","190.43","187.89","191.01","187.39","5.19M","1.56%"
"27/02/2025","187.50","191.38","193.40","186.70","4.71M","-1.08%"
"26/02/2025","189.55","189.37","192.31","188.45","2.65M","0.82%"
"25/02/2025","188.01","189.29","189.74","184.65","5.47M","-1.25%"
"24/02/2025","190.39","191.65","193.00","188.00","4.14M","-0.34%"
"21/02/2025","191.03","199.12","199.26","190.26","5.46M","-3.91%"
"20/02/2025","198.81","203.83","203.97","194.83","5.88M","-3.11%"
"19/02/2025","205.19","208.19","208.39","202.77","5.63M","-1.48%"
"18/02/2025","208.28","197.70","208.35","197.70","9.07M","4.12%"
"14/02/2025","200.03","191.99","201.33","188.75","13.99M","-0.92%"
"13/02/2025","201.88","199.16","202.41","195.35","13.22M","2.62%"
"12/02/2025","196.73","194.00","197.33","191.82","4.17M","0.63%"
"11/02/2025","195.49","198.15","199.18","194.40","5.66M","-0.46%"
"10/02/2025","196.40","196.50","198.74","195.50","5.11M","1.27%"
"07/02/2025","193.94","191.23","197.66","191.00","6.35M","3.51%"
"06/02/2025","187.37","187.71","188.97","186.38","3.63M","0.28%"
"05/02/2025","186.85","183.94","187.11","183.05","3.82M","1.88%"
"04/02/2025","183.40","181.31","184.90","180.93","5.55M","0.33%"
