"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","574.79","548.26","576.62","546.95","3.24M","6.86%"
"13/03/2025","537.91","534.60","545.40","525.49","2.53M","0.39%"
"12/03/2025","535.84","544.46","552.65","524.15","3.70M","5.39%"
"11/03/2025","508.44","490.40","513.78","487.16","4.06M","3.92%"
"10/03/2025","489.24","508.12","513.20","483.65","5.81M","-8.05%"
"07/03/2025","532.10","540.52","548.84","506.49","3.83M","-2.08%"
"06/03/2025","543.41","570.01","581.34","534.22","2.96M","-7.40%"
"05/03/2025","586.83","584.27","587.27","569.08","1.79M","0.46%"
"04/03/2025","584.14","588.25","590.71","560.10","2.99M","-2.62%"
"03/03/2025","599.86","610.60","626.56","593.77","1.58M","-1.34%"
"28/02/2025","608.01","584.25","609.92","580.00","4.53M","2.92%"
"27/02/2025","590.76","611.00","613.00","586.00","1.19M","-2.05%"
"26/02/2025","603.13","595.62","608.53","592.89","2.63M","2.47%"
"25/02/2025","588.57","597.22","599.12","575.53","2.82M","-2.17%"
"24/02/2025","601.61","612.30","621.91","592.98","2.08M","-0.95%"
"21/02/2025","607.38","636.37","639.01","605.56","2.20M","-4.62%"
"20/02/2025","636.77","635.50","638.79","615.15","1.91M","-0.93%"
"19/02/2025","642.73","638.00","643.00","624.25","1.47M","1.93%"
"18/02/2025","630.56","639.04","646.98","625.64","1.93M","-1.19%"
"14/02/2025","638.18","643.76","648.00","626.10","2.12M","-1.56%"
"13/02/2025","648.32","647.12","652.63","640.05","1.63M","1.21%"
"12/02/2025","640.59","626.56","648.27","623.71","1.80M","2.80%"
"11/02/2025","623.15","628.00","635.45","619.00","1.66M","-2.28%"
"10/02/2025","637.69","629.59","642.27","621.23","2.13M","2.36%"
"07/02/2025","622.99","628.37","632.45","620.69","2.32M","-0.46%"
"06/02/2025","625.87","628.50","628.50","618.01","1.86M","-0.02%"
"05/02/2025","626.00","608.85","630.77","607.30","4.61M","0.68%"
"04/02/2025","621.77","595.99","623.40","581.07","6.76M","13.24%"
"03/02/2025","549.08","538.92","554.70","534.89","2.54M","0.10%"
"31/01/2025","548.55","550.00","560.36","546.56","1.56M","-0.29%"
"30/01/2025","550.13","544.00","558.31","541.59","2.05M","2.10%"
"29/01/2025","538.83","529.97","543.86","528.19","1.90M","1.51%"
"28/01/2025","530.80","518.00","536.99","510.72","2.24M","3.27%"
"27/01/2025","513.98","495.11","516.58","488.04","2.45M","0.70%"
"24/01/2025","510.43","507.82","512.01","501.48","1.78M","1.78%"
"23/01/2025","501.50","490.00","501.61","488.00","892.71K","1.61%"
"22/01/2025","493.56","509.00","510.84","493.03","1.87M","1.24%"
"21/01/2025","487.51","497.36","500.86","476.52","2.13M","0.41%"
"17/01/2025","485.53","487.00","490.78","480.01","2.02M","-0.98%"
"16/01/2025","490.34","490.81","500.48","488.23","1.38M","-0.07%"
"15/01/2025","490.69","476.12","492.18","476.06","2.05M","5.85%"
"14/01/2025","463.59","463.39","469.39","460.33","1.14M","1.10%"
"13/01/2025","458.54","452.43","463.50","451.43","1.35M","-0.22%"
"10/01/2025","459.53","476.00","479.43","456.25","2.97M","-4.21%"
"08/01/2025","479.73","462.71","482.06","460.93","2.15M","3.41%"
"07/01/2025","463.93","472.00","472.97","454.71","1.26M","-1.07%"
"06/01/2025","468.93","469.44","474.31","460.60","1.75M","0.48%"
"03/01/2025","466.69","459.95","472.80","459.50","1.19M","1.94%"
"02/01/2025","457.79","450.58","460.27","443.21","1.09M","2.33%"
"31/12/2024","447.38","451.76","453.11","446.21","763.81K","-0.98%"
"30/12/2024","451.79","450.00","455.17","444.85","1.60M","-1.03%"
"27/12/2024","456.48","456.12","459.00","449.49","963.81K","-0.33%"
"26/12/2024","457.98","458.00","460.91","455.28","1.15M","-0.79%"
"24/12/2024","461.64","456.82","462.69","455.90","522.35K","1.17%"
"23/12/2024","456.29","462.00","462.50","451.00","1.66M","-1.00%"
"20/12/2024","460.88","445.27","464.46","444.17","1.83M","1.48%"
"19/12/2024","454.16","453.92","460.78","450.01","1.86M","1.23%"
"18/12/2024","448.65","479.50","482.67","446.78","3.39M","-5.42%"
"17/12/2024","474.37","479.91","483.82","471.70","1.92M","-2.17%"
"16/12/2024","484.90","483.04","490.67","481.74","1.40M","0.33%"
"13/12/2024","483.31","479.58","484.60","474.54","1.43M","0.67%"
"12/12/2024","480.11","477.00","487.82","475.00","1.61M","0.67%"
"11/12/2024","476.91","474.98","478.94","469.51","1.95M","1.13%"
"10/12/2024","471.58","480.00","488.43","465.34","2.78M","-2.27%"
"09/12/2024","482.52","496.52","497.00","481.00","2.90M","-3.23%"
"06/12/2024","498.63","495.22","499.02","487.69","1.84M","1.04%"
"05/12/2024","493.51","492.60","495.06","480.66","2.24M","-1.77%"
"04/12/2024","502.38","493.50","506.47","490.23","2.49M","1.84%"
"03/12/2024","493.32","477.28","494.00","477.00","2.16M","2.72%"
"02/12/2024","480.27","478.77","482.38","473.01","2.04M","0.69%"
"29/11/2024","476.96","475.72","478.87","473.33","981.17K","0.36%"
"27/11/2024","475.24","480.30","484.29","473.17","2.05M","-0.29%"
"26/11/2024","476.61","477.55","482.72","474.33","2.66M","-0.99%"
"25/11/2024","481.38","483.35","485.46","466.88","27.69M","1.33%"
"22/11/2024","475.04","471.81","480.09","469.49","2.30M","0.92%"
"21/11/2024","470.70","468.22","473.62","465.50","2.18M","0.15%"
"20/11/2024","470.01","467.78","473.00","460.65","2.39M","1.33%"
"19/11/2024","463.83","454.30","465.21","450.00","2.80M","2.08%"
"18/11/2024","454.36","460.64","460.64","452.49","2.95M","-0.86%"
"15/11/2024","458.32","474.00","474.00","457.54","3.02M","-4.02%"
"14/11/2024","477.50","471.00","489.69","466.36","5.04M","2.17%"
"13/11/2024","467.37","460.26","473.00","445.00","12.05M","11.44%"
"12/11/2024","419.39","415.81","420.00","411.40","6.60M","2.24%"
"11/11/2024","410.19","405.11","412.95","404.79","3.29M","2.37%"
"08/11/2024","400.68","399.15","405.93","397.33","2.04M","0.21%"
"07/11/2024","399.84","399.00","403.76","391.42","2.69M","2.22%"
"06/11/2024","391.16","386.10","392.12","376.04","2.03M","2.23%"
"05/11/2024","382.63","380.27","384.07","378.38","1.02M","1.30%"
"04/11/2024","377.73","380.94","383.74","377.11","1.24M","-1.76%"
"01/11/2024","384.50","382.51","389.33","380.63","1.55M","-0.16%"
"31/10/2024","385.10","390.08","393.74","381.67","1.79M","-2.26%"
"30/10/2024","394.02","391.68","395.68","389.14","1.35M","0.71%"
"29/10/2024","391.23","386.70","397.20","384.22","1.92M","1.79%"
"28/10/2024","384.36","388.00","388.55","381.10","1.30M","1.37%"
"25/10/2024","379.16","376.70","383.00","376.00","789.76K","0.61%"
"24/10/2024","376.87","382.00","383.59","376.03","897.58K","-0.78%"
"23/10/2024","379.84","387.63","388.73","378.90","1.29M","-2.01%"
"22/10/2024","387.63","381.99","389.48","381.80","1.95M","1.48%"
"21/10/2024","381.97","377.43","382.55","376.06","1.09M","0.82%"
"18/10/2024","378.88","370.00","384.21","369.42","1.68M","3.31%"
"17/10/2024","366.75","372.38","373.99","366.65","1.24M","-1.33%"
"16/10/2024","371.69","375.00","376.86","368.41","997.21K","-0.24%"
"15/10/2024","372.60","373.61","374.20","364.26","1.09M","0.03%"
"14/10/2024","372.50","375.00","377.18","370.23","949.66K","-0.32%"
"11/10/2024","373.70","379.11","380.00","373.39","1.26M","-1.14%"
"10/10/2024","378.00","375.00","382.77","375.00","1.68M","1.07%"
"09/10/2024","373.98","370.00","376.14","368.35","1.06M","0.97%"
"08/10/2024","370.38","366.58","371.95","365.03","1.02M","2.05%"
"07/10/2024","362.95","369.36","371.00","362.31","1.75M","-2.29%"
"04/10/2024","371.45","376.38","379.48","368.11","1.10M","-0.31%"
"03/10/2024","372.60","372.57","376.69","371.74","946.99K","-0.57%"
"02/10/2024","374.75","374.46","377.37","371.53","1.50M","-0.17%"
"01/10/2024","375.40","370.49","375.66","367.93","1.57M","1.86%"
"30/09/2024","368.53","369.05","373.38","366.25","1.55M","-0.18%"
"27/09/2024","369.20","376.76","377.41","365.91","2.90M","-2.63%"
"26/09/2024","379.16","386.72","389.23","373.08","1.78M","-1.25%"
"25/09/2024","383.96","377.80","386.96","375.71","1.67M","0.95%"
"24/09/2024","380.36","374.83","382.60","371.00","2.55M","3.08%"
"23/09/2024","369.01","367.00","371.11","363.53","1.78M","1.05%"
"20/09/2024","365.17","363.82","366.79","362.00","1.43M","1.37%"
"19/09/2024","360.22","350.00","368.29","348.96","2.81M","4.72%"
"18/09/2024","343.97","342.85","346.82","340.37","1.15M","0.53%"
"17/09/2024","342.15","341.04","346.98","339.28","950.77K","0.98%"
"16/09/2024","338.83","343.02","344.00","337.15","1.13M","0.28%"
"13/09/2024","337.90","337.79","344.52","337.53","994.44K","0.12%"
"12/09/2024","337.51","338.25","342.17","337.13","944.15K","0.25%"
"11/09/2024","336.66","328.11","337.23","326.00","1.06M","2.95%"
"10/09/2024","327.00","326.52","328.15","324.16","741.45K","0.90%"
"09/09/2024","324.07","324.50","329.04","322.35","828.23K","0.40%"
"06/09/2024","322.77","331.26","331.92","319.07","1.16M","-1.78%"
"05/09/2024","328.63","323.38","329.60","322.62","1.54M","-0.19%"
"04/09/2024","329.25","327.80","336.38","327.07","825.88K","0.20%"
"03/09/2024","328.60","340.05","342.40","326.10","1.63M","-4.16%"
"30/08/2024","342.88","341.17","343.51","337.47","1.08M","0.63%"
"29/08/2024","340.73","338.80","344.50","338.80","1.45M","0.94%"
"28/08/2024","337.56","338.31","339.54","334.09","976.90K","-0.56%"
"27/08/2024","339.47","333.51","343.26","333.00","1.41M","1.01%"
"26/08/2024","336.07","342.50","343.81","333.61","1.18M","-1.87%"
"23/08/2024","342.49","342.41","347.98","340.18","1.49M","0.08%"
"22/08/2024","342.20","345.01","350.32","340.52","1.71M","-0.43%"
"21/08/2024","343.69","345.16","347.86","343.30","1.76M","-0.75%"
"20/08/2024","346.28","346.55","348.85","342.74","1.56M","0.46%"
"19/08/2024","344.69","335.00","346.17","334.57","2.04M","2.17%"
"16/08/2024","337.38","335.21","338.91","332.82","1.51M","0.53%"
"15/08/2024","335.59","337.00","341.64","333.91","2.12M","0.37%"
"14/08/2024","334.35","335.99","338.51","332.37","1.83M","-0.12%"
"13/08/2024","334.74","339.00","340.31","333.80","2.08M","-1.65%"
"12/08/2024","340.36","340.00","343.43","336.51","918.96K","0.14%"
"09/08/2024","339.90","337.27","343.27","333.67","1.21M","0.47%"
"08/08/2024","338.32","328.20","339.49","324.36","1.45M","4.63%"
"07/08/2024","323.34","329.00","335.36","323.16","1.32M","-1.21%"
"06/08/2024","327.30","323.99","330.72","320.38","1.54M","1.01%"
"05/08/2024","324.03","302.01","325.59","300.57","3.18M","-2.06%"
"02/08/2024","330.85","326.41","332.40","318.75","2.98M","-1.68%"
"01/08/2024","336.50","345.09","359.38","335.01","2.64M","-2.16%"
"31/07/2024","343.94","334.05","344.34","330.14","2.12M","4.11%"
"30/07/2024","330.35","323.35","334.65","321.83","2.51M","2.04%"
"29/07/2024","323.74","323.74","328.07","319.73","1.74M","0.58%"
"26/07/2024","321.88","330.42","331.37","320.20","1.99M","-2.15%"
"25/07/2024","328.95","336.82","341.00","324.08","2.72M","-2.25%"
"24/07/2024","336.52","333.62","346.23","328.76","5.69M","1.73%"
"23/07/2024","330.79","339.50","343.40","326.50","6.67M","11.96%"
"22/07/2024","295.45","298.00","300.72","290.13","3.12M","0.12%"
"19/07/2024","295.09","292.23","298.38","290.50","1.78M","1.70%"
