"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","174.09","172.65","174.37","171.93","11.45M","1.46%"
"13/03/2025","171.59","173.89","173.89","170.50","14.38M","-3.15%"
"12/03/2025","177.17","175.60","178.13","174.76","14.74M","3.63%"
"11/03/2025","170.97","170.65","173.33","168.10","16.56M","0.19%"
"10/03/2025","170.65","172.47","174.89","167.91","18.27M","-3.64%"
"07/03/2025","177.10","175.79","178.47","171.02","21.01M","0.71%"
"06/03/2025","175.85","178.57","181.55","175.79","17.86M","-4.57%"
"05/03/2025","184.28","183.00","184.74","180.72","17.33M","2.38%"
"04/03/2025","180.00","175.06","183.60","174.18","29.40M","4.06%"
"03/03/2025","172.97","181.15","181.57","171.07","37.40M","-4.19%"
"28/02/2025","180.53","179.31","182.16","175.52","27.93M","-0.31%"
"27/02/2025","181.09","194.69","194.77","181.08","24.22M","-6.95%"
"26/02/2025","194.62","191.09","196.08","191.09","14.11M","2.77%"
"25/02/2025","189.37","190.65","193.53","187.47","20.58M","-1.19%"
"24/02/2025","191.65","196.88","198.79","191.46","15.11M","-3.32%"
"21/02/2025","198.24","201.33","202.69","196.01","13.76M","-0.93%"
"20/02/2025","200.10","200.28","200.34","197.61","10.64M","-0.42%"
"19/02/2025","200.95","202.01","202.60","200.02","13.16M","-0.88%"
"18/02/2025","202.74","204.76","205.85","200.52","14.99M","-0.57%"
"14/02/2025","203.90","199.98","206.25","197.46","23.22M","1.03%"
"13/02/2025","201.83","201.88","202.30","199.23","15.58M","-2.20%"
"12/02/2025","206.38","204.90","207.07","203.01","7.37M","-1.13%"
"11/02/2025","208.74","205.13","209.84","201.00","9.22M","0.38%"
"10/02/2025","207.95","208.00","209.98","206.53","9.30M","0.89%"
"07/02/2025","206.12","213.01","213.18","205.72","11.62M","-2.08%"
"06/02/2025","210.50","210.05","211.18","207.00","8.49M","0.93%"
"05/02/2025","208.57","206.00","210.48","203.83","11.00M","2.22%"
"04/02/2025","204.05","204.07","205.75","202.08","12.69M","2.13%"
"03/02/2025","199.80","199.63","204.99","197.98","17.72M","-4.55%"
"31/01/2025","209.32","209.93","215.00","208.20","15.78M","0.56%"
"30/01/2025","208.15","206.57","209.62","205.42","13.54M","2.88%"
"29/01/2025","202.33","204.49","206.45","199.75","15.20M","-0.03%"
"28/01/2025","202.40","195.65","202.84","192.46","31.74M","5.25%"
"27/01/2025","192.31","197.04","207.00","187.66","68.67M","-13.33%"
"24/01/2025","221.88","226.22","226.40","220.96","13.18M","-1.22%"
"23/01/2025","224.62","220.10","224.70","219.41","8.99M","0.64%"
"22/01/2025","223.20","221.95","225.43","219.31","17.29M","2.06%"
"21/01/2025","218.70","214.46","220.15","212.05","19.06M","3.40%"
"17/01/2025","211.50","215.17","215.68","211.06","21.61M","-1.53%"
"16/01/2025","214.79","218.89","221.95","213.17","38.54M","3.86%"
"15/01/2025","206.80","202.49","209.04","199.35","18.29M","2.66%"
"14/01/2025","201.45","205.18","206.26","198.50","14.18M","0.04%"
"13/01/2025","201.36","200.52","203.59","200.05","16.61M","-3.36%"
"10/01/2025","208.37","207.60","209.98","203.23","17.27M","0.60%"
"08/01/2025","207.12","209.97","210.30","205.92","13.26M","-2.03%"
"07/01/2025","211.42","221.24","221.48","211.32","17.01M","-3.90%"
"06/01/2025","220.01","218.77","222.20","215.69","24.34M","5.46%"
"03/01/2025","208.61","204.10","208.80","203.70","10.26M","3.49%"
"02/01/2025","201.58","197.00","203.77","196.69","10.95M","2.07%"
"31/12/2024","197.49","200.79","201.78","197.36","6.43M","-1.45%"
"30/12/2024","200.39","199.84","201.97","198.48","11.24M","-0.61%"
"27/12/2024","201.63","204.50","204.50","199.05","10.66M","-0.70%"
"26/12/2024","203.06","205.50","208.16","202.89","8.05M","-1.58%"
"24/12/2024","206.33","205.92","207.20","204.55","7.63M","-0.50%"
"23/12/2024","207.36","201.00","208.05","200.90","17.85M","5.15%"
"20/12/2024","197.21","192.60","198.08","191.98","16.17M","1.32%"
"19/12/2024","194.64","198.40","198.57","193.95","10.55M","-0.47%"
"18/12/2024","195.56","203.00","205.24","193.96","14.72M","-2.54%"
"17/12/2024","200.66","201.00","202.40","197.47","11.17M","-0.77%"
"16/12/2024","202.22","203.20","205.50","200.87","15.14M","0.61%"
"13/12/2024","200.99","198.51","202.54","197.27","19.48M","4.98%"
"12/12/2024","191.46","194.63","195.42","191.29","7.94M","-1.61%"
"11/12/2024","194.60","194.67","196.00","193.26","9.03M","1.39%"
"10/12/2024","191.94","199.10","199.91","190.37","15.31M","-3.63%"
"09/12/2024","199.17","200.93","203.13","198.98","9.70M","-1.90%"
"06/12/2024","203.02","202.00","203.19","199.93","9.67M","-0.63%"
"05/12/2024","204.30","201.25","205.63","200.75","12.48M","1.80%"
"04/12/2024","200.69","199.85","202.60","198.27","12.76M","0.91%"
"03/12/2024","198.89","193.50","199.00","192.60","11.22M","2.31%"
"02/12/2024","194.40","189.34","195.29","188.94","16.65M","5.27%"
"29/11/2024","184.66","181.51","186.95","181.18","8.05M","1.92%"
"27/11/2024","181.19","182.00","182.45","178.05","9.90M","-1.44%"
"26/11/2024","183.84","185.40","185.90","182.33","10.19M","-0.67%"
