"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","195.54","196.20","197.50","193.20","25.90M","2.18%"
"13/03/2025","191.36","193.15","196.32","189.46","27.24M","-1.48%"
"12/03/2025","194.23","196.21","199.98","192.45","30.41M","2.18%"
"11/03/2025","190.09","188.05","195.62","185.35","42.15M","3.06%"
"10/03/2025","184.45","189.60","191.98","180.43","44.22M","-5.39%"
"07/03/2025","194.96","187.73","195.48","181.56","74.53M","8.64%"
"06/03/2025","179.45","181.04","186.83","177.61","56.86M","-6.33%"
"05/03/2025","191.58","191.86","194.08","187.10","25.64M","2.19%"
"04/03/2025","187.48","189.21","193.95","180.48","37.91M","0.06%"
"03/03/2025","187.37","204.00","204.06","184.53","37.44M","-6.05%"
"28/02/2025","199.43","195.76","201.19","193.15","39.75M","0.82%"
"27/02/2025","197.80","217.28","219.25","197.40","27.57M","-7.11%"
"26/02/2025","212.94","206.91","213.54","206.00","21.37M","5.13%"
"25/02/2025","202.54","207.00","208.64","200.92","33.10M","-2.59%"
"24/02/2025","207.93","218.60","219.48","207.54","33.05M","-4.91%"
"21/02/2025","218.66","225.65","227.75","215.63","24.88M","-3.56%"
"20/02/2025","226.74","228.65","228.98","222.75","16.10M","-0.87%"
"19/02/2025","228.73","227.85","229.07","224.40","16.38M","0.09%"
"18/02/2025","228.53","230.10","232.20","224.30","26.08M","-1.94%"
"14/02/2025","233.04","234.53","235.74","228.90","16.99M","-1.17%"
"13/02/2025","235.80","236.06","236.95","230.73","20.96M","-0.23%"
"12/02/2025","236.35","230.35","236.48","230.00","16.40M","0.56%"
"11/02/2025","235.04","232.48","237.89","229.97","18.48M","0.00%"
"10/02/2025","235.04","227.43","235.82","227.12","23.90M","4.52%"
"07/02/2025","224.87","235.00","235.65","224.11","22.12M","-2.81%"
"06/02/2025","231.36","234.50","234.80","228.56","21.17M","-0.28%"
"05/02/2025","232.00","233.94","237.93","227.50","29.25M","4.30%"
"04/02/2025","222.43","219.35","223.03","215.30","23.77M","2.16%"
"03/02/2025","217.73","215.46","220.94","213.51","24.51M","-1.60%"
"31/01/2025","221.27","219.66","226.80","216.30","41.15M","2.60%"
"30/01/2025","215.66","218.57","221.96","213.70","42.45M","4.51%"
"29/01/2025","206.35","208.84","211.45","202.77","32.53M","-0.49%"
"28/01/2025","207.36","208.01","209.95","198.89","50.32M","2.59%"
"27/01/2025","202.13","213.40","218.43","196.23","90.57M","-17.40%"
"24/01/2025","244.70","244.70","249.59","241.91","25.39M","1.84%"
"23/01/2025","240.28","238.41","240.40","236.12","17.65M","-0.26%"
"22/01/2025","240.91","246.75","246.99","240.69","29.61M","0.25%"
"21/01/2025","240.31","241.50","242.75","237.40","30.90M","1.21%"
"17/01/2025","237.44","237.08","238.10","232.66","31.20M","3.50%"
"16/01/2025","229.41","235.22","238.60","229.21","23.47M","0.62%"
"15/01/2025","228.00","228.55","230.34","225.58","21.75M","1.47%"
"14/01/2025","224.70","226.57","230.26","223.10","18.14M","-0.26%"
"13/01/2025","225.29","219.99","229.26","219.51","23.77M","0.44%"
"10/01/2025","224.31","227.30","227.83","221.25","23.86M","-2.18%"
"08/01/2025","229.31","229.70","232.47","226.06","18.76M","0.29%"
"07/01/2025","228.64","239.50","239.50","227.60","25.93M","-3.29%"
"06/01/2025","236.41","236.50","241.75","233.30","34.03M","1.66%"
"03/01/2025","232.55","233.59","236.49","229.00","24.97M","0.25%"
"02/01/2025","231.98","236.15","239.50","230.24","31.53M","0.06%"
"31/12/2024","231.84","235.88","237.46","231.31","17.93M","-1.59%"
"30/12/2024","235.58","234.70","238.77","231.62","27.32M","-2.55%"
"27/12/2024","241.75","245.64","245.78","236.35","29.28M","-1.47%"
"26/12/2024","245.36","240.00","247.28","237.60","28.54M","2.37%"
"24/12/2024","239.68","240.12","240.23","234.80","22.83M","3.15%"
"23/12/2024","232.35","226.69","233.40","225.13","40.64M","5.24%"
"20/12/2024","220.79","220.36","230.29","218.91","131.91M","1.13%"
"19/12/2024","218.32","227.91","228.05","217.58","40.85M","-2.37%"
"18/12/2024","223.62","239.41","239.85","219.22","53.96M","-6.91%"
"17/12/2024","240.23","240.65","242.47","233.80","70.38M","-3.91%"
"16/12/2024","250.00","231.79","251.88","230.81","111.62M","11.21%"
"13/12/2024","224.80","213.90","228.70","211.11","121.34M","24.43%"
"12/12/2024","180.66","180.93","182.00","175.99","46.97M","-1.39%"
"11/12/2024","183.20","180.01","184.87","176.43","41.30M","6.63%"
"10/12/2024","171.81","177.81","178.50","169.73","27.76M","-3.98%"
"09/12/2024","178.94","178.95","180.79","176.02","20.89M","-0.33%"
"06/12/2024","179.53","170.10","180.68","169.33","27.83M","5.31%"
"05/12/2024","170.47","170.75","172.40","169.20","18.49M","-0.05%"
"04/12/2024","170.56","173.44","175.39","168.56","32.75M","1.43%"
"03/12/2024","168.15","164.48","168.27","164.03","17.02M","0.98%"
"02/12/2024","166.51","162.95","168.38","162.75","21.47M","2.73%"
"29/11/2024","162.08","159.57","162.69","159.08","11.02M","1.51%"
"27/11/2024","159.67","163.20","163.20","157.54","19.72M","-3.08%"
"26/11/2024","164.74","164.60","166.37","162.69","16.31M","-0.05%"
"25/11/2024","164.82","165.40","167.23","162.89","26.85M","0.36%"
"22/11/2024","164.23","164.30","164.91","162.40","17.33M","0.18%"
"21/11/2024","163.94","166.25","166.34","160.60","24.84M","0.42%"
"20/11/2024","163.25","165.54","165.54","160.86","17.20M","-1.27%"
"19/11/2024","165.35","166.66","166.80","164.31","18.00M","-0.19%"
"18/11/2024","165.67","165.66","166.35","162.22","17.87M","0.50%"
"15/11/2024","164.84","168.47","169.13","163.43","20.84M","-3.25%"
"14/11/2024","170.38","174.77","175.57","169.87","20.64M","-1.84%"
"13/11/2024","173.58","174.71","175.59","172.60","17.47M","-1.50%"
"12/11/2024","176.22","178.90","179.56","173.20","15.86M","-1.50%"
"11/11/2024","178.91","183.40","183.63","176.82","17.04M","-2.58%"
"08/11/2024","183.64","182.99","185.05","181.83","13.50M","-0.09%"
"07/11/2024","183.81","181.99","184.87","181.79","18.97M","2.37%"
"06/11/2024","179.55","179.63","180.21","175.96","24.30M","3.25%"
"05/11/2024","173.90","170.05","174.40","170.05","13.44M","3.17%"
"04/11/2024","168.55","169.28","172.45","168.42","13.62M","-0.22%"
"01/11/2024","168.92","168.26","171.33","167.50","17.85M","-0.50%"
"31/10/2024","169.77","174.45","174.45","167.38","26.09M","-3.89%"
"30/10/2024","176.64","177.47","179.19","175.62","17.91M","-1.45%"
"29/10/2024","179.24","172.43","180.23","171.21","23.70M","4.20%"
"28/10/2024","172.02","173.00","173.97","171.35","13.20M","-0.57%"
"25/10/2024","173.00","174.19","176.80","172.72","19.98M","0.96%"
"24/10/2024","171.35","174.26","174.30","169.50","20.49M","-1.24%"
"23/10/2024","173.51","177.59","178.98","172.57","19.51M","-3.27%"
"22/10/2024","179.38","178.66","180.69","177.41","12.06M","-0.34%"
"21/10/2024","179.99","179.38","181.72","178.25","13.70M","0.06%"
"18/10/2024","179.89","182.32","182.71","178.68","17.84M","-0.90%"
"17/10/2024","181.53","181.37","185.51","180.69","25.23M","2.66%"
"16/10/2024","176.82","178.51","179.25","175.33","15.29M","0.48%"
"15/10/2024","175.98","180.79","181.70","173.37","27.66M","-3.47%"
"14/10/2024","182.31","183.30","184.95","180.13","17.20M","0.46%"
"11/10/2024","181.48","181.14","182.59","177.40","23.07M","-2.27%"
"10/10/2024","185.69","183.56","186.31","182.53","16.32M","-0.14%"
"09/10/2024","185.95","179.24","186.42","176.42","25.50M","2.89%"
"08/10/2024","180.73","175.42","181.60","174.89","20.77M","3.23%"
"07/10/2024","175.08","174.82","178.31","173.86","15.59M","-0.88%"
"04/10/2024","176.64","176.30","176.90","172.60","17.94M","2.76%"
"03/10/2024","171.89","169.62","174.94","169.19","13.07M","0.72%"
"02/10/2024","170.66","167.55","172.84","167.02","14.32M","1.90%"
"01/10/2024","167.47","172.16","172.25","165.80","23.77M","-2.92%"
"30/09/2024","172.50","171.87","172.92","169.63","16.90M","-0.11%"
"27/09/2024","172.69","178.17","178.47","171.76","20.58M","-3.03%"
