"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","265.63","260.14","266.66","259.00","4.34M","3.59%"
"13/03/2025","256.43","259.65","261.51","253.52","4.19M","-1.66%"
"12/03/2025","260.75","260.18","262.82","255.00","5.51M","2.10%"
"11/03/2025","255.39","257.46","260.24","253.54","4.93M","-2.27%"
"10/03/2025","261.32","267.71","268.59","257.45","4.28M","-4.35%"
"07/03/2025","273.21","273.66","274.17","264.71","3.82M","-0.88%"
"06/03/2025","275.64","279.80","282.16","274.53","2.94M","-3.01%"
"05/03/2025","284.18","283.00","286.12","280.63","2.57M","0.25%"
"04/03/2025","283.47","291.57","291.77","277.58","5.90M","-4.07%"
"03/03/2025","295.49","301.43","303.46","293.11","2.34M","-1.82%"
"28/02/2025","300.96","296.29","301.07","294.97","3.34M","2.30%"
"27/02/2025","294.20","296.00","301.00","293.04","2.03M","-0.64%"
"26/02/2025","296.10","295.14","299.34","293.67","1.90M","0.94%"
"25/02/2025","293.34","296.99","298.41","289.53","2.51M","-0.74%"
"24/02/2025","295.53","297.11","298.98","292.42","2.45M","0.04%"
"21/02/2025","295.40","304.94","304.94","293.85","3.28M","-2.78%"
"20/02/2025","303.86","309.72","309.96","298.69","2.83M","-1.96%"
"19/02/2025","309.92","310.38","312.00","306.87","2.15M","-0.94%"
"18/02/2025","312.85","313.39","313.68","309.03","2.02M","0.58%"
"14/02/2025","311.04","307.43","311.85","307.42","1.73M","1.15%"
"13/02/2025","307.50","307.55","309.63","305.88","1.98M","0.36%"
"12/02/2025","306.40","306.85","307.96","303.91","2.24M","-1.02%"
"11/02/2025","309.57","308.53","310.51","306.34","1.86M","-0.22%"
"10/02/2025","310.26","318.45","318.45","306.01","3.23M","-2.06%"
"07/02/2025","316.77","320.83","321.40","316.29","1.61M","-1.06%"
"06/02/2025","320.15","323.10","323.25","317.20","1.73M","-0.12%"
"05/02/2025","320.53","317.94","320.71","315.10","2.07M","1.49%"
"04/02/2025","315.83","315.25","317.36","313.11","1.88M","-0.22%"
"03/02/2025","316.53","312.19","317.00","309.19","2.00M","-0.29%"
"31/01/2025","317.45","320.91","321.64","315.51","2.03M","-0.47%"
"30/01/2025","318.95","317.00","321.89","316.00","2.52M","1.17%"
"29/01/2025","315.25","316.63","319.48","314.14","2.16M","-0.56%"
"28/01/2025","317.04","316.64","317.87","310.72","2.43M","0.20%"
"27/01/2025","316.42","318.13","318.83","311.84","3.10M","-1.53%"
"24/01/2025","321.34","324.40","324.47","313.73","6.26M","-1.39%"
"23/01/2025","325.87","323.55","326.27","321.99","3.94M","1.12%"
"22/01/2025","322.25","318.31","322.82","317.68","2.93M","1.35%"
"21/01/2025","317.95","316.94","319.70","315.00","2.78M","1.72%"
"17/01/2025","312.56","313.02","315.40","310.77","2.18M","0.35%"
"16/01/2025","311.48","312.70","314.00","310.13","2.36M","-0.27%"
"15/01/2025","312.32","305.00","313.96","304.21","3.10M","3.98%"
"14/01/2025","300.36","299.60","300.54","296.73","2.37M","1.12%"
