"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","197.11","195.37","197.70","193.60","3.26M","2.44%"
"13/03/2025","192.42","194.55","195.62","191.67","3.84M","-1.32%"
"12/03/2025","195.00","194.92","197.25","192.43","4.74M","1.71%"
"11/03/2025","191.72","189.93","193.68","188.32","5.36M","-0.21%"
"10/03/2025","192.12","189.20","192.21","187.91","6.19M","-0.89%"
"07/03/2025","193.85","195.07","195.75","187.68","7.68M","-1.12%"
"06/03/2025","196.05","199.00","200.22","195.28","5.62M","-3.19%"
"05/03/2025","202.50","198.87","204.47","198.69","6.22M","1.88%"
"04/03/2025","198.77","198.00","203.04","193.26","6.16M","-1.58%"
"03/03/2025","201.96","207.09","208.48","200.81","5.38M","-2.43%"
"28/02/2025","206.98","201.95","207.32","201.03","6.12M","2.76%"
"27/02/2025","201.43","204.42","205.47","201.10","3.48M","-0.09%"
"26/02/2025","201.61","201.76","204.60","199.99","3.16M","1.17%"
"25/02/2025","199.27","198.98","200.08","194.84","4.12M","0.28%"
"24/02/2025","198.71","202.63","203.25","197.43","4.30M","-0.56%"
"21/02/2025","199.83","208.36","209.12","198.44","5.42M","-4.27%"
"20/02/2025","208.74","209.73","210.27","207.15","2.97M","-0.84%"
"19/02/2025","210.50","209.04","211.78","208.88","2.70M","0.20%"
"18/02/2025","210.08","209.87","212.19","209.32","4.40M","0.87%"
"14/02/2025","208.27","208.66","209.16","204.97","4.27M","-0.04%"
"13/02/2025","208.36","211.12","211.30","206.27","3.76M","-0.61%"
"12/02/2025","209.64","206.70","211.42","206.14","4.60M","0.39%"
"11/02/2025","208.82","205.00","209.15","204.44","4.11M","1.75%"
"10/02/2025","205.22","206.14","206.66","203.40","3.79M","-0.03%"
"07/02/2025","205.28","206.48","207.84","204.50","3.95M","-0.38%"
"06/02/2025","206.06","205.00","206.10","204.06","3.11M","0.72%"
"05/02/2025","204.58","203.88","205.28","201.79","3.24M","1.19%"
"04/02/2025","202.18","202.93","204.54","200.43","5.41M","-0.95%"
"03/02/2025","204.11","200.00","204.73","198.97","4.68M","0.27%"
"31/01/2025","203.57","205.84","205.87","203.07","5.51M","-0.97%"
"30/01/2025","205.57","199.81","205.93","199.48","6.28M","3.25%"
"29/01/2025","199.10","194.93","199.94","194.93","5.60M","2.40%"
"28/01/2025","194.43","195.29","196.55","191.79","4.86M","-0.02%"
"27/01/2025","194.46","194.34","196.63","192.74","7.67M","-1.16%"
"24/01/2025","196.75","202.50","203.00","195.52","7.84M","-2.02%"
"23/01/2025","200.80","201.40","207.65","198.10","14.40M","6.60%"
"22/01/2025","188.36","188.08","189.24","186.61","7.46M","0.46%"
"21/01/2025","187.50","184.90","189.32","184.51","7.51M","2.54%"
"17/01/2025","182.85","180.78","183.19","179.96","5.90M","1.73%"
"16/01/2025","179.74","181.68","182.88","178.62","6.14M","-0.31%"
"15/01/2025","180.29","179.07","180.88","178.88","7.40M","1.94%"
"14/01/2025","176.86","173.11","177.90","172.40","6.43M","3.08%"
"13/01/2025","171.57","169.51","172.52","169.00","5.61M","-0.07%"
"10/01/2025","171.69","172.40","173.46","170.74","5.13M","-0.69%"
"08/01/2025","172.89","172.00","173.58","170.71","4.53M","0.34%"
"07/01/2025","172.31","172.22","173.70","170.78","6.50M","-0.08%"
"06/01/2025","172.45","173.15","173.68","171.18","4.98M","0.28%"
"03/01/2025","171.96","169.22","172.63","169.00","3.98M","2.00%"
"02/01/2025","168.59","167.92","170.70","167.22","4.15M","1.08%"
"31/12/2024","166.79","168.50","168.55","166.15","2.81M","-0.78%"
"30/12/2024","168.10","167.20","169.23","166.01","4.12M","-1.16%"
"27/12/2024","170.08","170.72","171.46","168.98","3.19M","-1.20%"
"26/12/2024","172.15","171.02","172.67","170.13","3.31M","0.38%"
"24/12/2024","171.49","169.24","171.49","168.85","2.24M","1.46%"
"23/12/2024","169.02","168.12","169.33","166.55","4.13M","0.39%"
"20/12/2024","168.37","163.97","169.08","163.16","9.28M","2.17%"
"19/12/2024","164.80","163.03","165.77","162.18","6.26M","3.03%"
"18/12/2024","159.95","166.00","166.63","159.60","8.06M","-3.53%"
"17/12/2024","165.80","165.80","166.51","163.53","4.86M","0.01%"
"16/12/2024","165.79","166.32","169.20","165.45","7.44M","-0.13%"
"13/12/2024","166.01","165.65","167.87","165.54","4.96M","0.72%"
"12/12/2024","164.83","168.64","169.28","164.45","7.81M","-2.26%"
"11/12/2024","168.64","173.17","173.17","167.93","7.61M","-1.54%"
