"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","232.44","228.12","233.14","227.58","11.96M","3.22%"
"13/03/2025","225.19","229.30","229.50","224.23","16.47M","-1.19%"
"12/03/2025","227.90","234.00","234.32","227.26","16.05M","-0.54%"
"11/03/2025","229.14","231.74","233.32","226.69","18.14M","-1.33%"
"10/03/2025","232.22","236.21","237.51","228.70","18.89M","-4.15%"
"07/03/2025","242.28","245.23","246.72","239.42","20.50M","-1.73%"
"06/03/2025","246.54","248.11","249.36","243.85","9.98M","-1.98%"
"05/03/2025","251.53","251.25","253.05","247.83","7.86M","0.51%"
"04/03/2025","250.25","255.28","257.23","245.95","13.47M","-3.98%"
"03/03/2025","260.62","264.00","266.32","257.82","9.06M","-1.52%"
"28/02/2025","264.65","260.73","264.81","257.89","10.47M","2.16%"
"27/02/2025","259.05","260.18","263.64","257.86","8.20M","0.10%"
"26/02/2025","258.79","257.16","260.91","256.93","5.94M","0.54%"
"25/02/2025","257.40","262.23","263.00","253.35","9.61M","-1.51%"
"24/02/2025","261.34","265.49","267.00","258.61","10.37M","-1.10%"
"21/02/2025","264.24","268.32","269.20","262.84","12.84M","-0.96%"
"20/02/2025","266.80","278.67","278.74","265.73","13.85M","-4.46%"
"19/02/2025","279.25","278.38","280.25","277.22","7.01M","-0.25%"
"18/02/2025","279.95","276.76","279.97","276.02","7.92M","1.21%"
"14/02/2025","276.59","277.37","279.23","276.45","5.69M","0.10%"
"13/02/2025","276.32","275.50","276.97","273.81","8.40M","0.32%"
"12/02/2025","275.45","274.08","276.45","273.25","6.68M","0.17%"
"11/02/2025","274.99","270.26","276.22","269.66","7.20M","1.46%"
"10/02/2025","271.04","276.15","276.18","269.59","8.63M","-1.73%"
"07/02/2025","275.80","277.27","278.55","274.71","6.86M","-0.40%"
"06/02/2025","276.90","272.45","276.98","271.19","7.26M","2.39%"
"05/02/2025","270.43","268.91","270.64","268.33","5.70M","0.93%"
"04/02/2025","267.94","269.84","269.84","266.83","5.63M","0.42%"
"03/02/2025","266.81","261.83","268.17","261.70","8.38M","-0.18%"
"31/01/2025","267.30","269.23","270.82","266.96","7.20M","-0.35%"
"30/01/2025","268.23","268.63","269.70","266.62","8.75M","0.62%"
"29/01/2025","266.58","267.21","270.68","265.61","7.68M","-0.21%"
"28/01/2025","267.14","265.85","267.33","264.83","7.38M","0.49%"
"27/01/2025","265.85","264.17","265.97","262.26","7.52M","0.38%"
"24/01/2025","264.84","263.69","267.10","263.01","7.67M","-0.42%"
"23/01/2025","265.95","264.69","266.86","263.81","10.75M","1.18%"
"22/01/2025","262.84","262.90","263.38","260.25","9.02M","-0.07%"
"21/01/2025","263.03","260.07","264.25","259.50","13.71M","1.49%"
"17/01/2025","259.16","254.14","260.62","252.14","17.68M","1.92%"
"16/01/2025","254.27","254.00","257.04","252.33","15.29M","0.76%"
"15/01/2025","252.35","250.40","253.67","243.68","18.45M","1.97%"
"14/01/2025","247.47","242.66","247.72","242.19","12.41M","1.33%"
"13/01/2025","244.21","239.67","244.54","239.00","10.01M","1.81%"
"10/01/2025","239.87","243.09","243.81","238.74","10.26M","-1.34%"
"08/01/2025","243.13","242.75","244.25","240.50","8.68M","-0.02%"
"07/01/2025","243.17","242.14","245.26","240.90","8.75M","0.96%"
"06/01/2025","240.85","243.70","245.69","240.58","9.92M","-1.00%"
"03/01/2025","243.28","243.89","244.88","240.26","9.49M","1.37%"
"02/01/2025","240.00","240.92","243.28","239.45","9.22M","0.12%"
"31/12/2024","239.71","240.05","241.44","239.03","4.87M","0.16%"
"30/12/2024","239.32","238.77","240.84","237.11","5.72M","-0.77%"
"27/12/2024","241.17","242.72","243.39","240.04","5.73M","-0.81%"
"26/12/2024","243.14","241.43","243.26","240.79","4.45M","0.34%"
"24/12/2024","242.31","239.43","242.49","239.07","3.73M","1.64%"
"23/12/2024","238.39","236.07","238.62","234.88","8.61M","0.33%"
"20/12/2024","237.60","231.92","239.21","231.59","32.35M","1.99%"
"19/12/2024","232.96","232.27","236.36","232.27","11.79M","1.12%"
