"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","455.50","454.55","458.00","452.85","1.91M","0.49%"
"13/03/2025","453.26","449.44","455.35","447.50","2.21M","0.46%"
"12/03/2025","451.17","453.31","454.95","448.82","2.65M","-0.64%"
"11/03/2025","454.07","461.65","461.90","451.12","2.85M","-1.73%"
"10/03/2025","462.06","465.99","471.18","458.02","3.13M","-1.43%"
"07/03/2025","468.77","466.17","470.00","463.42","1.82M","0.56%"
"06/03/2025","466.16","466.69","470.15","463.35","3.71M","-0.45%"
"05/03/2025","468.25","461.93","470.42","460.55","2.39M","1.50%"
"04/03/2025","461.35","468.60","469.28","459.88","5.03M","-0.19%"
"03/03/2025","462.25","469.10","472.23","460.98","3.07M","-1.03%"
"28/02/2025","467.05","465.07","468.34","460.63","2.33M","1.47%"
"27/02/2025","460.28","463.54","468.23","459.88","2.07M","-0.28%"
"26/02/2025","461.55","466.36","467.51","461.27","1.58M","-1.27%"
"25/02/2025","467.49","459.29","468.99","459.29","2.34M","1.95%"
"24/02/2025","458.53","459.01","464.20","456.02","2.11M","0.12%"
"21/02/2025","458.00","463.58","465.17","457.52","1.94M","-0.84%"
"20/02/2025","461.90","459.70","462.13","458.40","1.34M","-0.04%"
"19/02/2025","462.07","460.82","465.64","460.12","1.88M","-0.81%"
"18/02/2025","465.83","454.87","466.03","450.05","2.81M","1.93%"
"14/02/2025","457.00","461.05","464.10","456.70","1.71M","-0.88%"
"13/02/2025","461.05","457.56","462.60","457.38","2.27M","0.54%"
"12/02/2025","458.56","457.32","460.14","454.55","1.70M","-0.47%"
"11/02/2025","460.74","460.25","462.54","459.32","1.59M","-0.03%"
"10/02/2025","460.86","454.82","461.12","453.40","1.88M","1.28%"
"07/02/2025","455.05","456.54","458.16","452.50","1.67M","-1.22%"
"06/02/2025","460.68","450.03","461.51","450.00","2.42M","1.54%"
"05/02/2025","453.70","453.40","455.07","450.91","2.70M","-0.24%"
"04/02/2025","454.80","455.94","458.83","452.83","2.50M","0.13%"
"03/02/2025","454.21","445.03","454.81","440.46","2.70M","1.81%"
"31/01/2025","446.12","444.42","448.17","438.64","2.82M","-0.06%"
"30/01/2025","446.38","439.00","449.67","439.00","2.55M","1.84%"
"29/01/2025","438.32","435.22","439.02","434.49","2.63M","0.65%"
"28/01/2025","435.51","440.00","440.41","435.24","2.16M","-0.91%"
"27/01/2025","439.49","438.34","441.40","434.99","2.83M","0.05%"
"24/01/2025","439.25","442.87","443.37","439.04","1.55M","-0.36%"
"23/01/2025","440.83","442.72","443.14","440.42","1.81M","-0.40%"
"22/01/2025","442.60","445.67","448.69","442.47","2.64M","0.03%"
"21/01/2025","442.46","439.67","444.07","439.43","2.28M","1.48%"
"17/01/2025","436.00","440.00","440.00","433.53","2.41M","0.81%"
"16/01/2025","432.49","427.92","432.75","427.65","1.51M","1.05%"
"15/01/2025","427.98","433.22","433.92","426.41","2.20M","0.16%"
"14/01/2025","427.29","422.28","427.81","420.72","2.34M","1.39%"
"13/01/2025","421.43","415.79","422.67","413.70","2.82M","1.76%"
"10/01/2025","414.15","415.61","417.89","411.72","2.64M","-1.40%"
"08/01/2025","420.01","416.74","420.42","414.20","2.25M","1.22%"
"07/01/2025","414.95","412.03","419.00","410.69","3.21M","0.49%"
"06/01/2025","412.91","415.43","418.38","412.12","2.63M","-0.14%"
"03/01/2025","413.50","416.15","417.99","413.10","2.00M","-0.16%"
"02/01/2025","414.17","420.75","422.72","413.77","2.11M","-1.07%"
"31/12/2024","418.67","418.61","420.11","415.75","1.39M","0.24%"
"30/12/2024","417.66","419.18","420.26","415.41","1.61M","-1.26%"
"27/12/2024","422.98","423.21","425.95","421.54","1.44M","-0.32%"
"26/12/2024","424.32","424.12","426.60","422.91","992.36K","-0.34%"
"24/12/2024","425.77","422.18","426.06","420.58","824.23K","0.81%"
"23/12/2024","422.33","422.43","425.66","417.68","2.08M","-0.47%"
"20/12/2024","424.31","419.23","425.34","418.27","6.68M","1.12%"
"19/12/2024","419.59","422.10","425.57","419.03","3.29M","-0.63%"
"18/12/2024","422.27","428.92","431.30","422.05","3.27M","-1.84%"
"17/12/2024","430.20","428.24","433.19","425.94","3.32M","0.44%"
"16/12/2024","428.30","435.72","435.73","427.41","3.69M","-1.61%"
"13/12/2024","435.30","437.61","437.80","432.76","2.25M","-0.73%"
"12/12/2024","438.50","439.94","442.38","437.90","1.72M","-0.46%"
"11/12/2024","440.53","443.29","445.65","440.16","1.61M","-0.96%"
"10/12/2024","444.81","444.81","446.38","437.25","2.33M","0.50%"
