"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","813.48","803.11","815.21","800.00","3.10M","1.48%"
"13/03/2025","801.65","818.24","821.11","795.38","3.57M","-2.46%"
"12/03/2025","821.86","814.95","834.65","813.26","3.01M","-0.27%"
"11/03/2025","824.06","827.20","832.35","811.64","3.80M","-0.69%"
"10/03/2025","829.76","853.91","863.19","825.78","5.96M","-4.58%"
"07/03/2025","869.58","905.39","908.00","861.39","4.82M","-4.73%"
"06/03/2025","912.76","920.42","931.38","898.28","3.27M","-1.82%"
"05/03/2025","929.72","904.80","930.49","901.64","3.11M","2.05%"
"04/03/2025","911.06","922.23","929.16","902.79","3.34M","-2.01%"
"03/03/2025","929.72","912.80","935.63","910.00","3.98M","0.99%"
"28/02/2025","920.63","901.84","921.22","892.61","4.07M","1.71%"
"27/02/2025","905.16","915.72","925.50","904.06","3.09M","-1.08%"
"26/02/2025","915.01","898.36","922.43","896.60","3.03M","1.46%"
"25/02/2025","901.80","890.74","912.00","890.74","5.11M","2.31%"
"24/02/2025","881.40","879.29","893.11","870.02","3.02M","0.88%"
"21/02/2025","873.68","880.62","894.40","873.43","3.94M","0.06%"
"20/02/2025","873.12","866.84","880.32","864.00","2.99M","0.70%"
"19/02/2025","867.05","857.17","881.33","857.17","3.21M","1.15%"
"18/02/2025","857.20","856.42","862.73","851.36","4.29M","1.53%"
"14/02/2025","844.27","869.10","873.50","841.49","3.22M","-3.16%"
"13/02/2025","871.86","877.07","883.50","867.80","2.47M","-0.13%"
"12/02/2025","872.97","856.93","877.78","856.11","2.53M","0.92%"
"11/02/2025","865.00","867.03","874.19","860.50","1.94M","-0.45%"
"10/02/2025","868.88","877.72","880.00","859.37","3.07M","-1.07%"
"07/02/2025","878.31","876.53","889.36","869.62","4.43M","0.91%"
"06/02/2025","870.37","839.52","887.74","835.61","7.14M","3.35%"
"05/02/2025","842.18","835.15","846.90","831.06","4.58M","1.95%"
"04/02/2025","826.07","811.05","829.04","805.93","4.30M","1.93%"
