"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","149.27","148.91","150.88","147.88","9.33M","1.09%"
"13/03/2025","147.66","149.79","150.17","145.48","14.19M","-2.14%"
"12/03/2025","150.89","146.23","152.23","145.01","15.37M","4.65%"
"11/03/2025","144.18","143.42","145.78","137.70","27.20M","-3.10%"
"10/03/2025","148.79","150.53","152.52","146.80","21.49M","-4.11%"
"07/03/2025","155.16","150.62","156.48","148.50","12.65M","2.80%"
"06/03/2025","150.94","157.15","157.15","149.73","12.32M","-6.57%"
"05/03/2025","161.56","158.06","162.49","157.05","7.14M","2.60%"
"04/03/2025","157.47","159.22","159.76","153.52","13.17M","-2.81%"
"03/03/2025","162.02","166.95","167.12","161.13","8.08M","-2.43%"
"28/02/2025","166.06","163.11","166.15","160.81","12.84M","0.79%"
"27/02/2025","164.76","173.00","174.86","164.58","7.44M","-4.47%"
"26/02/2025","172.47","170.98","173.87","169.13","6.92M","2.33%"
"25/02/2025","168.54","169.29","170.60","164.44","8.32M","-0.84%"
"24/02/2025","169.96","173.57","174.17","164.66","10.64M","1.28%"
"21/02/2025","167.81","176.12","176.88","167.55","9.71M","-4.65%"
"20/02/2025","176.00","179.81","180.27","174.43","8.74M","-3.04%"
"19/02/2025","181.52","178.58","181.68","175.70","8.69M","0.96%"
"18/02/2025","179.80","176.75","182.24","176.09","11.43M","3.24%"
"14/02/2025","174.16","174.25","175.03","172.81","7.26M","0.17%"
"13/02/2025","173.86","173.00","174.38","172.10","6.42M","0.95%"
"12/02/2025","172.22","174.89","174.89","170.71","7.45M","-2.80%"
"11/02/2025","177.19","177.62","179.12","176.45","6.53M","-0.97%"
"10/02/2025","178.92","176.00","179.99","174.92","7.63M","2.56%"
"07/02/2025","174.46","175.00","177.39","173.18","9.99M","1.22%"
"06/02/2025","172.35","173.00","175.65","171.57","7.04M","0.40%"
"05/02/2025","171.66","168.99","171.89","168.52","7.87M","2.25%"
"04/02/2025","167.89","170.40","170.40","166.35","6.78M","-0.42%"
"03/02/2025","168.60","163.20","169.90","163.20","8.25M","-0.86%"
"31/01/2025","170.06","170.41","173.00","169.13","8.72M","-0.19%"
"30/01/2025","170.38","164.78","171.49","164.10","14.98M","5.16%"
"29/01/2025","162.02","164.02","164.02","160.01","9.87M","-1.21%"
"28/01/2025","164.00","162.99","165.82","156.75","20.32M","3.61%"
"27/01/2025","158.28","168.90","172.52","152.66","42.20M","-13.79%"
"24/01/2025","183.60","188.64","189.10","181.87","12.15M","-1.54%"
"23/01/2025","186.47","181.64","186.57","181.50","17.31M","1.22%"
"22/01/2025","184.22","191.51","191.99","180.57","48.03M","6.75%"
"21/01/2025","172.57","163.87","173.37","162.75","30.23M","7.17%"
"17/01/2025","161.03","161.77","163.16","160.54","11.62M","0.93%"
"16/01/2025","159.54","160.15","161.50","158.41","9.21M","0.78%"
"15/01/2025","158.31","158.66","159.15","157.26","10.70M","1.28%"
"14/01/2025","156.31","156.42","157.25","154.35","7.41M","1.55%"
"13/01/2025","153.92","153.74","154.15","152.42","8.83M","-0.38%"
"10/01/2025","154.50","159.20","159.20","153.92","13.59M","-5.30%"
"08/01/2025","163.14","162.18","163.98","161.43","7.60M","0.69%"
"07/01/2025","162.03","165.58","166.16","161.32","7.71M","-2.21%"
"06/01/2025","165.69","167.31","168.05","165.19","6.85M","-0.38%"
"03/01/2025","166.32","166.70","167.20","165.27","5.88M","0.17%"
"02/01/2025","166.03","168.52","168.69","164.90","5.37M","-0.37%"
"31/12/2024","166.64","167.20","167.30","165.84","4.31M","-0.16%"
"30/12/2024","166.91","166.51","167.91","164.55","5.25M","-1.21%"
"27/12/2024","168.96","170.38","171.15","167.20","4.34M","-1.58%"
"26/12/2024","171.68","170.50","172.55","170.50","4.10M","0.16%"
"24/12/2024","171.41","169.70","171.77","169.03","2.45M","1.34%"
"23/12/2024","169.14","169.59","169.62","167.17","6.52M","-0.31%"
