"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","24.10","23.87","24.17","23.87","8.64M","2.95%"
"13/03/2025","23.41","23.49","23.61","23.36","2.43M","-1.18%"
"12/03/2025","23.69","23.75","23.92","23.54","5.33M","3.22%"
"11/03/2025","22.95","22.88","23.14","22.68","4.37M","0.44%"
"10/03/2025","22.85","23.20","23.22","22.72","4.49M","-5.38%"
"07/03/2025","24.15","24.15","24.20","23.61","3.62M","-1.02%"
"06/03/2025","24.40","24.70","24.82","24.38","6.21M","0.25%"
"05/03/2025","24.34","23.95","24.36","23.92","3.47M","0.70%"
"04/03/2025","24.17","24.01","24.40","23.73","4.30M","-1.71%"
"03/03/2025","24.59","24.80","25.04","24.49","2.58M","-1.80%"
"28/02/2025","25.04","24.79","25.06","24.71","2.74M","0.04%"
"27/02/2025","25.03","25.38","25.48","24.99","4.04M","-1.69%"
"26/02/2025","25.46","25.28","25.64","25.26","3.66M","1.56%"
"25/02/2025","25.07","25.18","25.27","24.99","5.79M","1.09%"
"24/02/2025","24.80","24.88","24.92","24.57","2.72M","0.08%"
"21/02/2025","24.78","25.25","25.29","24.70","5.05M","-0.56%"
"20/02/2025","24.92","24.83","24.95","24.72","2.83M","0.81%"
"19/02/2025","24.72","24.63","24.78","24.52","4.02M","0.82%"
"18/02/2025","24.52","24.77","24.88","24.41","7.07M","1.57%"
"14/02/2025","24.14","24.11","24.25","23.94","5.03M","4.10%"
"13/02/2025","23.19","23.26","24.03","23.04","6.55M","5.55%"
"12/02/2025","21.97","21.84","22.01","21.62","4.93M","-1.74%"
"11/02/2025","22.36","22.26","22.41","22.26","4.20M","-0.27%"
"10/02/2025","22.42","22.57","22.60","22.39","3.47M","-0.66%"
"07/02/2025","22.57","22.99","22.99","22.55","4.21M","-1.91%"
"06/02/2025","23.01","23.00","23.05","22.91","3.00M","0.39%"
"05/02/2025","22.92","22.80","22.96","22.75","3.87M","1.78%"
"04/02/2025","22.52","22.34","22.55","22.27","4.11M","2.88%"
"03/02/2025","21.89","21.70","21.99","21.67","3.14M","-0.55%"
"31/01/2025","22.01","22.19","22.23","21.93","2.38M","-1.30%"
"30/01/2025","22.30","22.26","22.40","22.10","3.41M","0.77%"
"29/01/2025","22.13","22.22","22.30","21.98","4.98M","1.47%"
"28/01/2025","21.81","21.55","21.92","21.39","4.03M","3.86%"
"27/01/2025","21.00","20.91","21.01","20.83","4.19M","0.82%"
"24/01/2025","20.83","20.81","20.98","20.71","4.87M","-2.53%"
"23/01/2025","21.37","21.12","21.39","21.12","4.10M","2.15%"
"22/01/2025","20.92","20.97","21.05","20.86","3.35M","0.10%"
"21/01/2025","20.90","20.79","20.98","20.74","3.14M","1.26%"
"17/01/2025","20.64","20.61","20.70","20.54","2.99M","1.52%"
"16/01/2025","20.33","20.52","20.52","20.30","4.48M","-0.83%"
"15/01/2025","20.50","20.48","20.51","20.29","4.73M","3.12%"
"14/01/2025","19.88","20.09","20.17","19.85","4.31M","-1.63%"
"13/01/2025","20.21","20.19","20.35","20.11","2.70M","-0.69%"
"10/01/2025","20.35","20.45","20.58","20.25","4.82M","-2.02%"
"08/01/2025","20.77","20.73","20.82","20.56","3.28M","-0.67%"
"07/01/2025","20.91","21.06","21.19","20.89","2.72M","0.05%"
"06/01/2025","20.90","21.09","21.16","20.89","3.40M","-1.97%"
"03/01/2025","21.32","21.18","21.35","21.11","2.30M","1.09%"
"02/01/2025","21.09","21.27","21.33","21.02","2.64M","-0.33%"
"31/12/2024","21.16","21.23","21.31","21.13","1.19M","-0.24%"
"30/12/2024","21.21","21.12","21.33","21.05","1.93M","-1.16%"
"27/12/2024","21.46","21.50","21.52","21.33","1.94M","1.32%"
"26/12/2024","21.18","21.18","21.28","21.13","1.31M","0.19%"
"24/12/2024","21.14","21.02","21.17","20.99","979.89K","-0.09%"
"23/12/2024","21.16","20.95","21.21","20.92","2.50M","0.67%"
"20/12/2024","21.02","20.85","21.16","20.78","5.68M","1.74%"
"19/12/2024","20.66","20.90","20.94","20.58","4.42M","-1.20%"
"18/12/2024","20.91","21.55","21.67","20.83","3.63M","-3.77%"
"17/12/2024","21.73","21.80","21.98","21.70","4.76M","1.12%"
"16/12/2024","21.49","21.47","21.63","21.42","3.89M","-0.92%"
"13/12/2024","21.69","21.87","21.91","21.62","3.45M","-3.08%"
"12/12/2024","22.38","22.59","22.71","22.38","4.66M","0.95%"
"11/12/2024","22.17","22.06","22.25","22.05","4.18M","1.84%"
"10/12/2024","21.77","21.90","22.04","21.76","5.04M","3.18%"
"09/12/2024","21.10","21.30","21.41","21.03","4.09M","0.76%"
"06/12/2024","20.94","20.98","21.04","20.90","1.97M","0.19%"
"05/12/2024","20.90","21.05","21.07","20.90","3.64M","-0.43%"
"04/12/2024","20.99","21.01","21.09","20.89","4.28M","2.54%"
"03/12/2024","20.47","20.45","20.49","20.32","3.36M","2.30%"
"02/12/2024","20.01","20.00","20.08","19.93","3.34M","-0.20%"
"29/11/2024","20.05","19.98","20.06","19.91","1.25M","1.47%"
"27/11/2024","19.76","19.76","19.97","19.75","2.49M","2.01%"
"26/11/2024","19.37","19.42","19.44","19.32","1.78M","-0.26%"
"25/11/2024","19.42","19.31","19.50","19.31","3.33M","1.89%"
"22/11/2024","19.06","19.02","19.14","18.97","2.07M","-0.05%"
"21/11/2024","19.07","19.08","19.15","18.97","1.71M","-0.57%"
"20/11/2024","19.18","19.25","19.34","19.10","6.54M","1.37%"
"19/11/2024","18.92","18.81","19.00","18.81","2.56M","-0.26%"
"18/11/2024","18.97","18.72","19.06","18.72","2.88M","2.76%"
"15/11/2024","18.46","18.58","18.65","18.41","2.96M","-0.16%"
"14/11/2024","18.49","18.60","18.67","18.46","2.08M","-0.05%"
"13/11/2024","18.50","18.69","18.71","18.44","2.97M","-0.91%"
"12/11/2024","18.67","19.00","19.01","18.62","2.71M","-2.35%"
"11/11/2024","19.12","19.34","19.40","18.89","4.16M","-3.97%"
"08/11/2024","19.91","19.50","20.67","19.50","10.59M","8.98%"
"07/11/2024","18.27","18.20","18.34","18.12","3.69M","1.56%"
"06/11/2024","17.99","18.00","18.02","17.83","2.96M","-0.33%"
"05/11/2024","18.05","18.00","18.10","17.90","2.27M","1.75%"
"04/11/2024","17.74","17.75","17.85","17.72","1.73M","0.06%"
"01/11/2024","17.73","17.68","17.84","17.62","1.58M","0.74%"
"31/10/2024","17.60","17.82","17.82","17.56","2.14M","-2.11%"
"30/10/2024","17.98","18.07","18.11","17.97","3.02M","0.73%"
"29/10/2024","17.85","17.76","17.88","17.70","2.70M","0.56%"
"28/10/2024","17.75","17.71","17.79","17.68","2.57M","0.74%"
"25/10/2024","17.62","17.55","17.67","17.54","2.61M","-0.40%"
"24/10/2024","17.69","17.60","17.74","17.59","2.54M","0.91%"
"23/10/2024","17.53","17.50","17.64","17.42","2.84M","-2.01%"
"22/10/2024","17.89","17.90","17.94","17.82","2.63M","-1.16%"
"21/10/2024","18.10","18.14","18.17","18.02","2.36M","-0.66%"
"18/10/2024","18.22","18.11","18.24","18.08","2.53M","-1.57%"
"17/10/2024","18.51","18.60","18.62","18.43","1.66M","-0.91%"
"16/10/2024","18.68","18.70","18.70","18.61","1.89M","0.11%"
"15/10/2024","18.66","18.81","18.85","18.60","2.12M","-2.25%"
"14/10/2024","19.09","18.90","19.16","18.87","2.08M","0.58%"
"11/10/2024","18.98","18.74","19.05","18.74","1.73M","0.64%"
"10/10/2024","18.86","18.91","18.94","18.72","2.08M","-1.00%"
"09/10/2024","19.05","18.83","19.23","18.71","1.99M","0.12%"
"08/10/2024","19.03","19.08","19.09","19.01","2.02M","-0.54%"
"07/10/2024","19.13","19.12","19.28","19.07","3.34M","0.85%"
"04/10/2024","18.97","18.86","18.99","18.85","2.29M","0.90%"
"03/10/2024","18.80","18.80","18.92","18.75","2.31M","-1.00%"
"02/10/2024","18.99","19.05","19.05","18.78","3.72M","-1.91%"
"01/10/2024","19.36","19.38","19.48","19.21","4.92M","0.24%"
"30/09/2024","19.31","19.38","19.40","19.21","2.27M","0.43%"
"27/09/2024","19.23","19.53","19.67","19.22","4.19M","-2.52%"
"26/09/2024","19.73","19.53","19.75","19.48","3.54M","2.75%"
"25/09/2024","19.20","19.16","19.24","19.14","2.20M","0.47%"
"24/09/2024","19.11","19.24","19.24","19.06","2.14M","1.43%"
"23/09/2024","18.84","18.64","18.86","18.59","2.09M","1.20%"
"20/09/2024","18.62","18.79","18.79","18.58","2.93M","-0.15%"
"19/09/2024","18.65","18.55","18.71","18.52","2.95M","3.03%"
"18/09/2024","18.10","18.13","18.30","18.00","3.75M","-0.07%"
"17/09/2024","18.11","18.29","18.30","18.03","3.57M","-2.75%"
"16/09/2024","18.62","18.67","18.76","18.54","2.48M","-0.35%"
"13/09/2024","18.69","18.69","18.75","18.64","1.74M","-0.19%"
"12/09/2024","18.72","18.62","18.74","18.57","1.90M","-0.16%"
"11/09/2024","18.75","18.59","18.77","18.46","2.44M","0.85%"
"10/09/2024","18.60","18.40","18.68","18.35","3.47M","2.12%"
"09/09/2024","18.21","18.18","18.28","18.11","2.55M","1.11%"
"06/09/2024","18.01","18.43","18.50","17.95","4.86M","-4.57%"
"05/09/2024","18.87","18.86","18.93","18.80","2.43M","-0.11%"
"04/09/2024","18.89","18.90","19.03","18.79","2.77M","-1.07%"
"03/09/2024","19.10","19.28","19.38","19.08","4.53M","-2.13%"
"30/08/2024","19.51","19.45","19.54","19.40","2.00M","0.77%"
"29/08/2024","19.36","19.32","19.44","19.26","3.15M","0.06%"
"28/08/2024","19.35","19.42","19.47","19.27","5.29M","0.71%"
"27/08/2024","19.21","19.05","19.23","18.96","4.36M","3.51%"
"26/08/2024","18.56","18.60","18.62","18.51","2.12M","0.45%"
"23/08/2024","18.48","18.32","18.50","18.25","2.22M","1.20%"
"22/08/2024","18.26","18.49","18.51","18.22","3.16M","-1.62%"
"21/08/2024","18.56","18.32","18.59","18.30","4.13M","2.20%"
"20/08/2024","18.16","18.15","18.21","18.10","3.70M","-0.72%"
"19/08/2024","18.29","18.09","18.31","18.09","3.24M","1.34%"
"16/08/2024","18.05","17.92","18.08","17.82","2.95M","2.01%"
"15/08/2024","17.69","17.54","17.72","17.53","3.35M","-0.60%"
"14/08/2024","17.80","17.79","17.83","17.68","2.47M","-0.08%"
"13/08/2024","17.81","17.47","17.83","17.47","5.56M","5.12%"
"12/08/2024","16.94","16.90","16.96","16.81","2.48M","0.38%"
"09/08/2024","16.88","16.83","16.89","16.73","2.71M","-0.04%"
"08/08/2024","16.89","16.88","16.93","16.69","4.91M","-0.15%"
"07/08/2024","16.91","17.40","17.70","16.91","5.97M","1.82%"
"06/08/2024","16.61","16.52","16.69","16.41","6.56M","0.81%"
"05/08/2024","16.48","16.10","16.52","15.96","8.16M","0.94%"
"02/08/2024","16.32","16.32","16.45","16.22","6.85M","-3.91%"
"01/08/2024","16.99","17.35","17.39","16.97","5.62M","-4.13%"
"31/07/2024","17.72","17.79","17.79","17.65","3.90M","0.24%"
"30/07/2024","17.68","17.61","17.74","17.55","4.23M","2.29%"
"29/07/2024","17.28","17.37","17.39","17.28","2.76M","-1.05%"
"26/07/2024","17.46","17.36","17.53","17.33","4.81M","1.50%"
"25/07/2024","17.21","17.37","17.47","17.20","6.39M","-3.54%"
"24/07/2024","17.84","18.20","18.22","17.81","5.22M","-2.71%"
"23/07/2024","18.33","18.43","18.46","18.32","2.72M","-1.23%"
"22/07/2024","18.56","18.51","18.60","18.47","3.45M","0.00%"
"19/07/2024","18.57","18.56","18.65","18.48","7.87M","-0.40%"
"18/07/2024","18.64","18.85","18.95","18.60","3.31M","-2.88%"
"17/07/2024","19.19","19.03","19.26","19.01","3.09M","-0.18%"
"16/07/2024","19.23","19.12","19.25","19.06","3.26M","0.52%"
"15/07/2024","19.13","19.20","19.25","19.10","2.46M","-0.46%"
"12/07/2024","19.21","19.04","19.29","19.00","2.77M","0.46%"
"11/07/2024","19.13","19.20","19.24","19.06","6.32M","3.13%"
"10/07/2024","18.55","18.37","18.58","18.34","7.30M","2.53%"
"09/07/2024","18.09","18.02","18.11","17.94","5.75M","4.43%"
"08/07/2024","17.32","17.33","17.44","17.28","2.17M","-0.25%"
"05/07/2024","17.36","17.21","17.38","17.21","3.04M","1.37%"
"03/07/2024","17.13","17.00","17.18","17.00","2.66M","-1.17%"
"02/07/2024","17.33","17.18","17.33","17.12","4.09M","1.58%"
"01/07/2024","17.06","17.02","17.14","17.01","2.81M","0.42%"
"28/06/2024","16.99","16.89","17.05","16.89","3.59M","0.79%"
"27/06/2024","16.86","16.84","16.93","16.80","4.04M","1.71%"
"26/06/2024","16.57","16.51","16.59","16.44","4.29M","0.95%"
"25/06/2024","16.42","16.45","16.45","16.28","5.60M","1.18%"
"24/06/2024","16.22","16.15","16.30","16.12","2.71M","0.73%"
"21/06/2024","16.11","16.13","16.15","16.04","10.34M","-0.37%"
"20/06/2024","16.17","16.10","16.23","16.10","4.08M","1.51%"
"18/06/2024","15.93","16.09","16.12","15.86","11.21M","-1.84%"
"17/06/2024","16.22","16.15","16.27","16.11","3.51M","-1.34%"
"14/06/2024","16.44","16.50","16.53","16.38","3.34M","-2.24%"
"13/06/2024","16.82","16.83","16.89","16.75","2.32M","0.17%"
"12/06/2024","16.79","16.93","17.05","16.77","3.97M","-1.22%"
