"Date","Price","Open","High","Low","Vol.","Change %"
"14/03/2025","71.55","70.55","71.79","70.33","13.54M","2.93%"
"13/03/2025","69.51","71.68","72.00","69.36","15.27M","-2.37%"
"12/03/2025","71.20","72.31","72.42","69.55","17.32M","0.78%"
"11/03/2025","70.65","71.44","74.25","69.57","26.67M","-3.30%"
"10/03/2025","73.06","74.94","75.49","71.97","22.12M","-4.21%"
"07/03/2025","76.27","73.99","76.70","73.78","18.61M","1.75%"
"06/03/2025","74.96","75.32","77.22","74.73","16.50M","-1.99%"
"05/03/2025","76.48","75.65","76.94","74.93","13.12M","1.62%"
"04/03/2025","75.26","72.93","76.68","71.60","24.24M","1.10%"
"03/03/2025","74.44","77.06","77.74","73.68","17.00M","-2.07%"
"28/02/2025","76.01","74.28","76.11","73.58","17.75M","2.43%"
"27/02/2025","74.21","75.95","77.69","73.71","22.54M","-2.19%"
"26/02/2025","75.87","75.33","76.49","75.31","10.34M","1.23%"
"25/02/2025","74.95","76.36","76.37","73.53","19.56M","-1.92%"
"24/02/2025","76.42","78.65","78.88","74.85","24.37M","-3.13%"
"21/02/2025","78.89","81.26","82.10","78.36","21.77M","-2.92%"
"20/02/2025","81.26","81.23","81.84","80.06","14.77M","0.12%"
"19/02/2025","81.16","80.79","81.90","79.26","14.97M","-0.40%"
"18/02/2025","81.49","79.85","81.51","79.75","18.94M","2.61%"
"14/02/2025","79.42","80.35","80.35","78.87","15.41M","-1.08%"
"13/02/2025","80.29","79.12","80.53","78.51","21.75M","1.18%"
"12/02/2025","79.35","74.97","80.10","74.15","33.14M","3.12%"
"11/02/2025","76.95","78.91","79.20","76.60","27.33M","-2.14%"
"10/02/2025","78.63","77.10","78.99","76.80","42.55M","5.40%"
"07/02/2025","74.60","70.36","76.78","70.13","81.81M","6.59%"
"06/02/2025","69.99","65.67","70.05","65.54","45.94M","8.55%"
"05/02/2025","64.48","66.50","66.75","63.50","78.98M","-7.56%"
"04/02/2025","69.75","67.69","70.19","67.69","33.79M","3.66%"
"03/02/2025","67.29","65.30","68.85","65.18","25.29M","0.66%"
"31/01/2025","66.85","67.09","67.87","66.33","19.81M","0.39%"
"30/01/2025","66.59","63.42","67.22","63.42","33.25M","-0.24%"
"29/01/2025","66.75","67.80","68.06","65.82","29.59M","-1.94%"
"28/01/2025","68.07","68.33","69.68","67.16","24.99M","-1.02%"
"27/01/2025","68.77","67.64","69.41","67.37","20.90M","0.31%"
"24/01/2025","68.56","68.69","69.31","68.40","14.36M","0.38%"
"23/01/2025","68.30","67.60","68.37","67.24","15.36M","0.71%"
"22/01/2025","67.82","68.39","68.43","67.50","18.13M","0.12%"
"21/01/2025","67.74","68.00","68.18","66.85","21.42M","0.59%"
"17/01/2025","67.34","68.80","69.02","67.23","27.14M","-1.81%"
"16/01/2025","68.58","67.75","69.58","67.64","29.01M","2.33%"
"15/01/2025","67.02","66.01","67.25","66.01","22.70M","3.36%"
"14/01/2025","64.84","66.16","66.81","64.62","25.74M","-1.31%"
"13/01/2025","65.70","65.15","67.19","65.02","23.96M","-0.41%"
"10/01/2025","65.97","64.50","66.60","63.96","30.73M","1.63%"
"08/01/2025","64.91","66.40","66.68","64.12","24.52M","-1.87%"
"07/01/2025","66.15","68.49","68.84","65.95","35.35M","-0.24%"
"06/01/2025","66.31","66.97","67.35","66.04","32.98M","2.66%"
"03/01/2025","64.59","63.69","65.22","63.44","28.55M","2.25%"
"02/01/2025","63.17","62.19","63.39","61.31","25.90M","4.72%"
"31/12/2024","60.32","61.00","61.10","60.17","14.49M","-0.74%"
"30/12/2024","60.77","60.51","61.37","60.12","17.71M","-0.59%"
"27/12/2024","61.13","61.19","61.26","60.02","13.48M","-0.70%"
"26/12/2024","61.56","61.60","61.97","61.16","12.68M","-0.24%"
"24/12/2024","61.71","61.97","61.98","60.88","7.88M","-0.26%"
"23/12/2024","61.87","60.88","62.22","60.76","16.09M","1.88%"
"20/12/2024","60.73","60.08","61.39","59.75","26.38M","0.86%"
"19/12/2024","60.21","61.85","62.31","59.98","27.81M","-1.67%"
"18/12/2024","61.23","61.39","63.94","60.85","46.74M","0.33%"
"17/12/2024","61.03","59.42","61.04","59.33","35.03M","1.29%"
"16/12/2024","60.25","60.31","61.30","60.12","38.61M","0.53%"
"13/12/2024","59.93","61.86","62.26","59.74","47.33M","-2.41%"
"12/12/2024","61.41","63.17","63.54","61.25","45.67M","0.38%"
"11/12/2024","61.18","64.50","64.69","60.23","71.09M","-5.82%"
"10/12/2024","64.96","65.67","65.76","64.64","23.67M","-1.19%"
"09/12/2024","65.74","65.50","66.17","65.06","27.60M","-0.53%"
"06/12/2024","66.09","66.45","67.10","65.20","36.41M","1.32%"
"05/12/2024","65.23","71.93","72.03","64.28","77.32M","-9.60%"
"04/12/2024","72.16","71.40","72.40","70.65","17.26M","1.25%"
"03/12/2024","71.27","73.06","73.25","71.25","12.76M","-2.46%"
"02/12/2024","73.07","71.93","73.44","71.47","11.57M","1.54%"
"29/11/2024","71.96","71.70","72.44","71.52","7.35M","0.47%"
"27/11/2024","71.62","72.06","72.70","71.01","12.97M","0.08%"
"26/11/2024","71.56","73.49","73.50","71.34","13.70M","-2.53%"
"25/11/2024","73.42","72.60","73.55","71.83","17.45M","2.67%"
"22/11/2024","71.51","70.00","71.54","69.35","14.87M","2.69%"
"21/11/2024","69.64","70.25","70.87","68.80","25.66M","0.06%"
"20/11/2024","69.60","69.29","70.33","68.95","16.66M","0.68%"
"19/11/2024","69.13","68.51","69.60","68.20","22.29M","-0.29%"
"18/11/2024","69.33","72.04","72.04","67.80","45.24M","-5.35%"
"15/11/2024","73.25","72.10","73.63","71.76","23.98M","2.53%"
"14/11/2024","71.44","71.16","72.75","70.76","17.37M","0.39%"
"13/11/2024","71.16","71.53","72.08","70.55","15.01M","-0.29%"
"12/11/2024","71.37","71.97","72.68","71.20","19.44M","-0.39%"
"11/11/2024","71.65","72.65","73.00","71.34","22.68M","-0.54%"
"08/11/2024","72.04","73.44","73.56","71.56","20.15M","-1.49%"
"07/11/2024","73.13","76.10","76.40","72.74","24.31M","-1.65%"
"06/11/2024","74.36","73.46","74.62","70.74","26.41M","0.28%"
"05/11/2024","74.15","73.55","74.34","73.24","12.27M","1.23%"
"04/11/2024","73.25","72.75","74.22","72.66","14.95M","0.00%"
"01/11/2024","73.25","73.94","74.15","72.25","33.54M","1.67%"
"31/10/2024","72.05","74.50","74.99","69.87","64.05M","-9.29%"
"30/10/2024","79.43","79.23","80.07","78.82","15.00M","0.28%"
"29/10/2024","79.21","77.85","79.99","77.77","14.47M","1.96%"
"28/10/2024","77.69","78.20","78.38","77.47","9.31M","0.09%"
"25/10/2024","77.62","78.26","78.84","76.96","11.73M","-0.97%"
"24/10/2024","78.38","78.00","78.60","77.14","15.22M","-1.82%"
"23/10/2024","79.83","80.06","80.32","79.36","8.69M","-0.72%"
"22/10/2024","80.41","80.47","81.25","79.98","10.75M","-0.06%"
"21/10/2024","80.46","79.94","80.57","79.55","11.24M","1.64%"
"18/10/2024","79.16","80.53","80.55","78.80","14.19M","-0.93%"
"17/10/2024","79.90","79.92","80.88","79.41","27.37M","-2.44%"
"16/10/2024","81.90","82.93","83.48","81.62","12.40M","-1.56%"
"15/10/2024","83.20","84.77","84.77","82.65","14.86M","-2.05%"
"14/10/2024","84.94","85.64","86.18","84.18","14.75M","-1.62%"
"11/10/2024","86.34","82.00","87.00","81.86","57.29M","10.81%"
"10/10/2024","77.92","77.65","78.24","76.90","15.03M","0.06%"
"09/10/2024","77.87","76.00","77.96","75.96","17.25M","2.23%"
"08/10/2024","76.17","75.25","77.02","75.06","17.80M","2.12%"
"07/10/2024","74.59","74.25","75.74","73.73","15.33M","0.42%"
"04/10/2024","74.28","74.11","74.32","73.22","10.76M","1.84%"
"03/10/2024","72.94","72.56","73.21","71.90","11.10M","0.10%"
"02/10/2024","72.87","74.09","74.31","72.79","11.32M","-1.85%"
"01/10/2024","74.24","75.77","75.77","73.84","8.98M","-1.22%"
"30/09/2024","75.16","75.32","75.72","74.25","12.99M","-0.78%"
"27/09/2024","75.75","77.03","77.08","75.70","7.58M","-1.23%"
"26/09/2024","76.69","78.36","78.45","75.13","14.79M","-0.58%"
